// David's Sea Battle ai v11.1
// Weights resource production.
Weight ARMGEO 1
Weight ARMAP 1
Weight ARMRL 0.9
Weight ARMSOLAR 0.8
Weight ARMMEX 0.7
Weight ARMAAP 0.4
Weight ARMHP 0.1
Weight ARMGUARD 0.05

weight armcroc 1
weight armamph 1
weight corseal
weight coramph

weight armck 2
weight armcv 2
weight armack 2
weight armacv 2
weight corck 2
weight corcv 2
weigth corack 2
weight coracv 2


Weight ARMFRL 1
Weight ARMTIDE 0.95
Weight ARMSY 0.75
Weight ARMUWES 0.7
Weight ARMASY 0.4
Weight ARMFMKR 0.05

Weight ARMBRTHA 1
Weight ARMFLAK 0.6
Weight ARMMMKR 0.3

Weight ARMPLAT 1
Weight ARMUWFUS 0.4
Weight ARMATL 0.05

Weight ARMCA 1
Weight ARMACA 1
Weight ARMCSA 1
Weight ARMCH 1
Weight ARMACSUB 0.8
Weight ARMCS 0.7
Weight ARMCROC .3
Weight ARMAMPH .4
Weight CORSEAL .5
weight CORAMPH .4

Weight CORGEO 1
Weight CORAP 1
Weight CORSOLAR 0.9
Weight CORRL 0.8
Weight CORMEX 0.7
Weight CORAAP 0.3
Weight CORHP 0.1
Weight CORPUN 0.05

Weight CORTIDE 1
Weight CORSY 0.85
Weight CORFRL 0.75
Weight CORUWES 0.7
Weight CORASY 0.4
Weight CORFMKR 0.05

Weight CORINT 1
Weight CORFLAK 0.5
Weight CORMMKR 0.3

Weight CORPLAT 1
Weight CORUWFUS 0.5
Weight CORATL 0.05

Weight CORCA 1
Weight CORACA 1
Weight CORCH 1
Weight CORCS 0.8
Weight CORACSUB 0.6

// Weights ships, aircraft, and hovercraft.
Weight ARMPT 0.9
Weight ARMSS 0.4
Weight ARMROY 0.25
Weight ARMSUB 0.05

Weight ARMCARRY 1
Weight ARMCRUS 0.7
Weight ARMAAS 0.4

Weight ARMHAWK 0.9
Weight ARMSEAP 0.7
Weight ARMSFIG 0.4
Weight ARMBRAWL 0.3
Weight ARMFIG 0.05

Weight ARMAH 1
Weight ARMMH 0.6
Weight ARMANAC 0.1

Weight CORAPE 0.9
Weight CORSEAP 0.7
Weight CORVAMP 0.6
Weight CORSFIG 0.4
Weight CORVENG 0.05

Weight CORAH 0.9
Weight CORMH 0.5
Weight CORSNAP 0.1

Weight CORPT 1
Weight CORROY 0.4
Weight CORSUB 0.1

Weight CORCARRY 1
Weight CORBATS 0.8
Weight CORCRUS 0.5
Weight CORARCH 0.3
Weight CORMSHIP 0.2
Weight CORSSUB 0.1


// ARM
// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings

Limit ARMATLAS 0
Limit ARMFIG 12
Limit ARMPEEP 0
Limit ARMTHUND 0

Limit ARMAWAC 0
Limit ARMBRAWL 16
Limit ARMHAWK 50
Limit ARMLANCE 0
Limit ARMPNIX 0

Limit ARMAH 14
Limit ARMANAC 6
Limit ARMMH 8
Limit ARMSH 0
Limit ARMTHOVR 0

Limit ARMPT 20
Limit ARMROY 8
Limit ARMSS 2
Limit ARMSUB 6
Limit ARMTSHIP 0

Limit ARMAAS 8
