/ -----------------------------------------------------
Date: 06-13-2001
Auth: LodeRunner
Name: CloudRivers AI
Used: Small AI Designer Build 1.1.0
 -----------------------------------------------------/

/ Build Priorities  /
/ Workers /

Weight Armack 7.06
Weight Armacv 2.9
Weight Coraca 6.76
Weight Armaca 4.1
Weight Armcv 7.85
Weight Corca 6.29
Weight Corack 3.65
Weight Coracv 0.5
Weight Corck 8.4
Weight Armch 6.59
Weight Corch 5.58
Weight Armmlv 3.49
Weight Cormlv 2.12

/ Commanders /

Weight Armcom 3.23
Weight Corcom 9.89
Weight Cordecom 7.72
Weight Armdecom 4.4

/ Aircraft /

Weight Armbrawl 2.01
Weight Armca 3.82
Weight Armfig 6.94
Weight Armatlas 9.39
Weight Armhawk 4.54
Weight Armlance 4.23
Weight Armpeep 0.66
Weight Armpnix 3.8
Weight Corvalk 0.15
Weight Armthund 3.96
Weight Corshad 7.56
Weight Corfink 3
Weight Corvamp 8.61
Weight Corveng 5.17
Weight Corape 2.38
Weight Corhurc 2.89
Weight Armawac 3.25
Weight Armseap 9.73
Weight Armsehak 4.85
Weight Armsfig 3.51
Weight Corawac 7.01
Weight Corseap 0
Weight Corsfig 0
Weight Corhunt 2.08

/ Tanks /

Weight Armcroc 3.26
Weight Armfav 9.19
Weight Armflash 0.88
Weight Armjam 0.9
Weight Armmart 7.51
Weight Armmerl 3.41
Weight Cormart 1.49
Weight Cormist 3.45
Weight Cortruck 1.15
Weight Correap 7.52
Weight Corvrad 8.03
Weight Corvroc 7.34
Weight Armstump 1.85
Weight Corcv 1.57
Weight Corseal 4.41
Weight Corraid 7.57
Weight Corgator 1.23
Weight Corgol 1.68
Weight Coreter 3.24
Weight Armsam 6.52
Weight Armseer 9.5
Weight Corfav 2.89
Weight Corspec 8.22
Weight Armspid 2.91
Weight Armbull 3.11
Weight Armmh 6.46
Weight Armlatnk 0.51
Weight Armah 2.68
Weight Armthovr 6.99
Weight Corah 9.45
Weight Corsent 5.32
Weight Armmanni 1.9
Weight Corsh 4.06
Weight Armanac 3.3
Weight Armsh 7.94
Weight Armyork 9.65
Weight Corthovr 5.64
Weight Corlevlr 3.22
Weight Corsnap 5.73
Weight Cormh 7.73

/ Kbots /

Weight Armaser 7.67
Weight Armfast 5.34
Weight Armfido 4.28
Weight Armvader 4.05
Weight Corak 4.6
Weight Armham 0.82
Weight Armjeth 4.62
Weight Armck 2.12
Weight Corthud 9.97
Weight Corstorm 2.28
Weight Corroach 7.13
Weight Corcan 8.41
Weight Corpyro 7.99
Weight Armrock 2.7
Weight Armzeus 4.71
Weight Corcrash 4.13
Weight Armpw 10
Weight Armwar 5.83
Weight Armmark 7.61
Weight Cormort 2.38
Weight Corvoyr 7.59
Weight Armsnipe 6.53
Weight Corsumo 8.08
Weight Corhrk 6.7
Weight Armmav 6.34
Weight Corspy 6
