// Congost MoonAi v1.5a
// Especially modified for Congost

// Set Construction
Weight SOULREAVER 0.1
Weight ARMMEDIC 0.1
Weight CORACA 1
Weight CORACK 1
Weight CORACV 1
Weight CORCA 1.25
Weight CORCK 1
Weight CORCV 1.25
Weight CORMLV 0
Weight ARMACA 1
Weight ARMACK 1
Weight ARMACV 1
Weight ARMCA 1.25 
Weight ARMCK 1
Weight ARMCV 1.25
Weight ARMMLV 0
Limit CORCH 0
Limit ARMCH 0
Limit SOULREAVER 1
Limit CORNTOW 0
Limit CORHELPR 0
Limit ARMHELPR 0
Limit ARMMEDIC 3
Limit CORACA 2
Limit CORACK 2
Limit CORACV 2
Limit CORCA 2
Limit CORCK 2
Limit CORCV 2
Limit CORMLV 0
Limit ARMACA 2
Limit ARMACK 2
Limit ARMACV 2
Limit ARMCA 2
Limit ARMCK 2
Limit ARMCV 2
Limit ARMMLV 0

// Build Base Defences
Weight ARMRL 2.55
Weight CORRL 2.55
Weight ARMLLT 3.95
Weight CORLLT 3.95
Weight ARMGUARD 3.55
Weight CORPUN 3.55
Weight ARMHLT 8.55
Weight CORHLT 8.55
Weight CORDOOM 2.55
Weight CORDRAG 0
Weight CORFLAK 1.95
Weight CORTOAST 0
Weight CORVIPE 0
Weight ARMAMB 0
Weight ARMANNI 2.55
Weight ARMDRAG 0
Weight ARMFLAK 1.95
Weight ARMFORT 0
Weight CORFORT 0
Weight ARMSILO 0
Weight CORSILO 0
Weight CORMABM 0
Weight ARMSCAB 0
Weight ARMEMP 0
Weight CORTRON 0
Weight SPLINTER 6.55 
Weight MEDUSA 3.55
Weight SCREAMER 0.65
Weight CORVIPE 2.55
Weight CORCIRC 0.95
Weight TAWF111 0
Weight TAWF112 0.15
Weight CORVHLT 4.55
Weight AGORGON 0.15
Weight ARMARCH 0.95
Weight MERCURY 0.25
Weight CHAOSMACHINE 3.55
Weight ARMPB 4.95
Weight ARMMORTAR 0.95
Weight SKYSWEEPER 1.65
Weight TAWF005 0.25
Weight TAWF010 0.55
Weight CORTOAST 0
Weight ARMAMB 0
Weight ARMDEVA 0.75
Limit ARMDEVA 1
Limit CORFLA 1
Limit SKYSWEEPER 2
Limit TAWF005 3
Limit TAWF010 2
Limit ARMPB 5
Limit ARMMORTAR 0
Limit CHAOSMACHINE 4
Limit MERCURY 2
Limit AGORGON 2
Limit ARMARCH 1
Limit TAWF111 0 
Limit TAWF112 2
Limit CORCIRC 1
Limit SCREAMER 2
Limit MEDUSA 5
Limit CORDOOM 3
Limit CORDRAG 0
Limit CORFLAK 8
Limit CORTOAST 0
Limit CORVIPE 0
Limit ARMAMB 0
Limit ARMANNI 3
Limit ARMDRAG 0
Limit ARMFLAK 8
Limit CORFORT 0
Limit ARMFORT 0
LImit ARMSILO 0
Limit CORSILO 0
