// Fallout AI v1.0
// ALL OUT NUCLEAR WAR!
// Weights resource and base production.
Weight ARMGEO 9
Weight ARMFUS 9
Weight ARMRL 8
Weight ARMSOLAR 5
Weight ARMVP 3.7
Weight ARMMEX 5
Weight ARMLAB 2
Weight ARMFLAK 1.1
Weight ARMBRTHA 3
Weight ARMASP 2.1
Weight ARMESTOR 0.2
Weight ARMAVP 2
Weight ARMAP 5
Weight ARMMAKR 0.1
Weight ARMAAP 4.5
Weight ARMALAB 2
Weight ARMHP 2
Weight ARMMMKR 0.05
Weight ARMGUARD 0.05
Weight ARMCA 9
Weight ARMCH 9
Weight ARMACA 9
Weight ARMACK 9
Weight ARMACV 9
Weight ARMCV 0.3
Weight ARMCK 0.2
Weight ARMFIG 0.05
Weight ARMSY 0

Weight CORGEO 9
Weight CORFUS 9
Weight CORRL 9
Weight CORSOLAR 5
Weight CORLAB 3.5
Weight CORMEX 5
Weight CORFLAK 1.2
Weight CORINT 1.1
Weight CORGANT 0.9
Weight CORVP 0.6
Weight CORALAB 2
Weight CORASP 0.2
Weight CORESTOR 0.2
Weight CORAAP 4.5
Weight CORAP 5
Weight CORAVP 2
Weight CORMAKR 0.1
Weight CORMMKR 0.05
Weight CORHP 2
Weight CORPUN 0.05
Weight CORCA 9
Weight CORACA 9
Weight CORACK 9
Weight CORACV 9
Weight CORCH 9
Weight CORCV 0.6
Weight CORCK 0.3
Weight CORVENG 0.05
Weight CORSY 0

Weight ARMAMD 9
Weight ARMSILO 9
Weight CORFMD 9
Weight CORSILO 9

// Weights ground units.
Weight ARMFLASH 3
Weight ARMROCK 5
Weight ARMFIDO 9
Weight ARMMAV 9
Weight ARMLATNK 3
Weight ARMMH 2
Weight ARMAH 0.9
Weight ARMSAM 0.9
Weight ARMAMPH 0
Weight ARMMART 0.9
Weight ARMMERL 0.4
Weight ARMHAM 0.3
Weight ARMPW 0.3
Weight ARMBULL 0.2
Weight ARMYORK 4
Weight ARMANAC 0.1
Weight ARMSPID 0.05
Weight ARMDECOM 4

Weight CORSTORM 4
Weight CORCAN 9
Weight CORGOL 7
Weight CORGATOR 2
Weight CORMORT 9
Weight CORHRK  9
Weight CORMIST 0.9
Weight CORSUMO 3
Weight CORTHUD 0.3
Weight CORCRASH 4
Weight CORSENT 0.2
Weight CORVROC 0.1
Weight CORDECOM 0.05

// ARM
// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings

Limit ARMATLAS 5
Limit ARMAWAC 0
Limit ARMBRAWL 99
Limit ARMFIG 50
Limit ARMHAWK 99
Limit ARMLANCE 0
Limit ARMPEEP 0
Limit ARMPNIX 99
Limit ARMTHUND 25

Limit ARMANAC 10
Limit ARMAH 15
Limit ARMMH 8
Limit ARMSH 0
Limit ARMTHOVR 0

Limit ARMAMPH 0
Limit ARMASER 2
Limit ARMDECOM 4
Limit ARMFAST 0
Limit ARMFIDO 50
Limit ARMHAM 25
Limit ARMJETH 50
Limit ARMMARK 0
Limit ARMMAV 25
Limit ARMPW 0
Limit ARMRECTR 0
Limit ARMROCK 10
Limit ARMSCORP 0
Limit ARMSEER 0
Limit ARMSNIPE 5
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMWAR 25
Limit ARMZEUS 5

Limit ARMAAS 0
Limit ARMBATS 0
Limit ARMCARRY 0
Limit ARMCRUS 0
Limit ARMMSHIP 0
Limit ARMPT 0
Limit ARMROY 0
Limit ARMSCRAM 0
Limit ARMSJAM 0
Limit ARMSS 0
Limit ARMSUB 0
Limit ARMSUBK 0
Limit ARMTSHIP 0

Limit ARMSEAP 0
Limit ARMSEHAK 0
Limit ARMSFIG 0

Limit ARMBULL 8
Limit ARMCROC 0
Limit ARMFAV 0
Limit ARMFLASH 8
Limit ARMJAM 2
Limit ARMLATNK 12
Limit ARMMANNI 12
Limit ARMMART 4
Limit ARMMERL 6
Limit ARMMLV 0
Limit ARMSAM 12
Limit ARMSPID 2
Limit ARMSTUMP 0
Limit ARMYORK 25

Limit ARMAMB 3
Limit ARMAMD 15
Limit ARMANNI 1
Limit ARMARAD 1
Limit ARMASP 1
Limit ARMBEAC 0
Limit ARMBRTHA 3
Limit ARMCKFUS 1
Limit ARMDEV1 0
Limit ARMDRAG 0
Limit ARMEMP 0
Limit ARMESTOR 1
Limit ARMFLAK 16
Limit ARMFORT 0
Limit ARMFUS 15
Limit ARMGATE 0
Limit ARMGEO 7
Limit ARMGUARD 8
Limit ARMHLT 5
Limit ARMLLT 0
Limit ARMMAKR 5
Limit ARMMEX 35
Limit ARMMMKR 2
Limit ARMMOHO 2
Limit ARMMSTOR 0
Limit ARMRAD 0
Limit ARMSILO 10
Limit ARMRL 24
Limit ARMSOLAR 30
Limit ARMTARG 0
Limit ARMVULC 0
Limit ARMWIN 0

Limit ARMASON 0
Limit ARMATL 0
Limit ARMFDRAG 0
Limit ARMFHLT 0
Limit ARMFMKR 0
Limit ARMFRT 0
Limit ARMSONAR 0
Limit ARMTIDE 0
Limit ARMTL 0
Limit ARMUWES 0
Limit ARMUWFUS 0
Limit ARMUWMEX 0
Limit ARMUWMS 0

//CORE
// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings

Limit CORAPE 99
Limit CORAWAC 0
Limit CORBVALK 0
Limit CORFINK 0
Limit CORHURC 25
Limit CORSHAD 0
Limit CORTITAN 0
Limit CORVALK 0
Limit CORVAMP 99
Limit CORVENG 40

Limit CORAH 8
Limit CORMH 6
Limit CORSH 0
Limit CORSNAP 3
Limit CORTHOVR 0

Limit CORAMPH 0
Limit CORAK 0
Limit CORCAN 25
Limit CORCRASH 50
Limit CORDECOM 5
Limit CORFAST 0
Limit CORKROG 5
Limit CORHRK  25
Limit CORMORT 50
Limit CORNECRO 0
Limit CORPYRO 4
Limit CORROACH 0
Limit CORSCORP 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSTORM 12
Limit CORSUMO 4
Limit CORTHUD 5
Limit CORVOYR 0

Limit CORARCH 0
Limit CORBATS 0
Limit CORCARRY 0
Limit CORCRUS 0
Limit CORMSHIP 0
Limit CORPT 0
