//AI By Switeck
Weight ARMGEO 1
Weight ARMESTOR 1
Weight ARMSOLAR 0.95
Weight ARMRL 2
Weight ARMVP 0.85
Weight ARMMEX 0.8
Weight ARMLAB 0.4
Weight ARMAVP 0.3
Weight ARMAAP 0.25
Weight ARMAP 0.15
Weight ARMGUARD 0.5
Weight ARMHLT 0.2
Weight ARMALAB 0.05

Weight ARMFUS 1
Weight ARMASP 0.8
Weight ARMBRTHA 0.4
Weight ARMFLAK 0.1
Weight ARMMMKR 0.05

Weight ARMHAWK 0.8
Weight ARMBRAWL 0.25
Weight ARMFIG 0.05

Weight ARMACK 0.3
Weight ARMACV 0.8
Weight ARMCA 1
Weight ARMCK 0.8
Weight ARMCV 0.4

Weight ARMROCK 1
Weight ARMHAM 0.05

Weight ARMAMPH 0.95
Weight ARMMAV 0.5
Weight ARMDECOM 0.2
Weight ARMASER 0.1

Weight ARMSAM 1
Weight ARMFLASH 0.5
Weight ARMMERL 0.95
Weight ARMLATNK 0.5
Weight ARMJAM 0.2
Weight ARMBULL 1
Weight ARMSTUMP .5

Weight CORGEO 1
Weight CORESTOR 1
Weight CORSOLAR 0.95
Weight CORLAB 0.9
Weight CORRL 2
Weight CORMEX 0.8
Weight CORVP 0.4
Weight CORALAB 0.3
Weight CORAAP 0.2
Weight CORAP 0.15
Weight CORPUN 0.5
Weight CORHLT 0.2
Weight CORAVP 0.05

Weight CORFUS 1
Weight CORASP 0.8
Weight CORINT 0.5
Weight CORGANT 0.4
Weight CORFLAK 0.1
Weight CORMMKR 0.05

Weight CORAPE 0.8
Weight CORVAMP 0.4
Weight CORVENG 0.05

Weight CORACK 0.4
Weight CORACV 1
Weight CORCA 1
Weight CORCK 0.4
Weight CORCV 0.8

Weight CORSTORM 1
Weight CORTHUD 0.4
Weight CORCRASH 0.2

Weight CORKROG 0.5
Weight CORMORT 1.4
Weight CORCAN 0.7
Weight CORHRK  0.5
Weight CORSUMO 0.2
Weight CORDECOM 0.1
Weight CORSPEC 0.05


Weight CORMIST 1
Weight CORGATOR 0.6
Weight CORGOL 1
Weight CORVROC 0.1
Weight CORETER 0.05

// ai-only
Weight AAISNIPE 0.25
Weight AAIASER 0.2
Weight AAIJAM 0.1
Limit AAISNIPE 4
Limit AAIASER 1
Limit AAIJAM 1

Weight AAIEMP 0.1
Weight ARMFSILO 0.05
Weight NUKEA 1
Limit ARMFSILO 1

Weight ARMAIVP 1
Weight ACKFUS 1
Weight FLUXOR 1
Weight ANSMMKR 0
Limit ACKFUS 2
Limit FLUXOR 1
Limit ANSMMKR 0

Weight CAIETER 0.1
Weight CAISPEC 0.3
Limit CAIETER 1
Limit CAISPEC 1

Weight CAIGANT 1
Weight CCKFUS 1
Weight Quark 1
Weight CNSMMKR 0
Limit CCKFUS 2
Limit Quark 1
Limit CNSMMKR 0

Weight CAITRON 0.05
Weight CORFSILO 0.05
Weight NUKEC 1
Limit CORFSILO 1

Weight AAIBRAWL 0.3
Weight AAIFIG 0.05
Weight AAIHAWK 0.95
Weight AAILANCE 0
Weight AAIPNIX 0.5
Weight AAITHUND 0.15
Limit AAIBRAWL 36
Limit AAIFIG 16
Limit AAIHAWK 100
Limit AAILANCE 0
Limit AAIPNIX 30
Limit AAITHUND 20

Weight AAISEAP 0
Weight AAISFIG 0
Limit AAISEAP 0
Limit AAISFIG 0

Weight CAIAPE 0.6
Weight CAIVAMP 0.95
Weight CAIVENG 0.1
Weight CAIHURC 0.5
Weight CAISHAD 0.2
Weight CAITITAN 0
Limit CAIAPE 60
Limit CAIHURC 40
Limit CAISHAD 30
Limit CAITITAN 0
Limit CAIVAMP 80
Limit CAIVENG 20

Weight CAISEAP 0
Weight CAISFIG 0
Limit CAISEAP 0
Limit CAISFIG 0

// 3rd party Units ai shouldn't build
LIMIT ADVMOHO 0
LIMIT aflradar 0
LIMIT amdrepns 0
LIMIT armadvsol 0
LIMIT ARMAFRAD 0
LIMIT armbeaver 0
LIMIT ARMBFORTEW 0
LIMIT ARMBFORTNS 0
LIMIT armbtans 0
LIMIT armemg 0
LIMIT armeye 0
