
//  ***** GroundZero AI ***** 

//  ***** version 2.0 *****

//  designed by Philip Ruetz
//  email:  flosopher@yahoo.com

//  this AI profile has been
//  fine-tuned for ground battles
//  involving no aircraft or hovers
//  on non-water maps


//  ARM units:

Limit ARMSOLAR 20
Limit ARMMEX 10
Weight ARMMOHO 1   

Limit ARMBEAVER 0
Limit ARMAAP 0             
Limit ARMAAS 0          
Limit ARMACA 0                   
Limit ARMACK 6
Weight ARMACK 1                   
Limit ARMACSUB 0                   
Limit ARMACV 6
Weight ARMACV 1                    
Limit ARMAH 0           
Limit ARMALAB 3
Weight ARMALAB .6                   
Limit ARMAMB 4            
Limit ARMAMD 1   
Limit ARMAMPH 0              
Limit ARMANAC 0                   
Limit ARMANNI 4                  
Limit ARMAP 0              
Limit ARMARAD 0         
Limit ARMASER 0                    
Limit ARMASON 0              
Limit ARMASP 0
Limit ARMASY 0                
Limit ARMATL 0     
Limit ARMATLAS 0                  
Limit ARMAVP 3
Weight ARMAVP .6              
Limit ARMAWAC 0                  
Limit ARMBATS 0                     
Limit ARMBEAC 0                  
Limit ARMBRAWL 0                        
Limit ARMBRTHA 4        
Weight ARMBULL .5            
Limit ARMCA 0                   
Limit ARMCARRY 0                  
Limit ARMCH 0                  
Limit ARMCK 6
Weight ARMCK 1                   
Limit ARMCKFUS 0                                      
Limit ARMCROC 0                
Limit ARMCRUS 0                       
Limit ARMCS 0                   
Limit ARMCSA 0                    
Limit ARMCV 6
Weight ARMCV 1                   
Limit ARMDECOM 3              
Limit ARMDEV1 0               
Limit ARMDRAG 0            
Limit ARMEMP 0         
Limit ARMESTOR 4      
Limit ARMFAST 8
Weight ARMFAST .4               
Limit ARMFAV 6            
Limit ARMFDRAG 0      
Limit ARMFHLT 0     
Weight ARMFIDO 1                 
Limit ARMFIG 0                        
Limit ARMFLAK 0              
Weight ARMFLASH 1              
Limit ARMFMKR 0           
Limit ARMFORT 0             
Limit ARMFRT 0
Limit ARMFUS 8   
Weight ARMFUS 1                
Limit ARMGATE 0               
Limit ARMGEO 3
Weight ARMGEO 1                
Limit ARMGUARD 14
Weight ARMGUARD .7                 
Weight ARMHAM 1                 
Limit ARMHAWK 0                
Limit ARMHLT 8
Weight ARMHLT .2              
Limit ARMHP 0            
Limit ARMJAM 0          
Weight ARMJETH .4                
Limit ARMLAB 2
Weight ARMLAB .6                 
Limit ARMLANCE 0                  
Weight ARMLATNK .5                 
Limit ARMLLT 8
Weight ARMLLT .1             
