// Bardi´s Ai v 1.5 .1
// Non metal land map Ai
// Weights resource production.

Weight ARMGEO 2
Weight ARMFUS 2
Weight ARMTIDE 0
Weight ARMCA 3
Weight ARMACA 2
Weight ARMCH 0
Weight ARMAP 4
Weight ARMACK 7
Weight ARMCK 9
Weight ARMFRL 0
Weight ARMMEX 0
Weight ARMPLAT 0
Weight ARMHP 0
Weight ARMCS 0
Weight ARMSY 0
Weight ARMAAP 3
Weight ARMSOLAR 5
Weight ARMFLA 0
Weight ARMRL 1.2
Weight ARMACSUB 0
Weight ARMASY 0
Weight ARMBRTHA 0.8
Weight ARMMMKR 3.5
Weight ARMALAB 1.7
Weight ARMFMKR 0
Weight ARMLAB 1.15
Weight ARMVP 3.4
Weight ARMUWES 0
Weight ARMUWFUS 0
Weight ARMATL 0.1
Weight ARMGUARD 0.55
Weight ARMVULC 0.05
Weight ARMFIG 1.05
Weight ARMMOHO 0
Weight ARMMKR 8

Weight CORGEO 11
Weight CORFUS 2
Weight CORTIDE 0
Weight CORFRL 0
Weight CORSY 0
Weight CORMEX 0
Weight CORAP 3
Weight CORAAP 2
Weight CORVP 3.5
Weight CORHP 0
Weight CORPLAT 0
Weight CORASY 0
Weight CORSOLAR 5
Weight CORFLAK 1.2
Weight CORINT 0.9
Weight CORRL 4.9
Weight CORMMKR 8.4
Weight CORFMKR 0
Weight CORLAB 2.2
Weight CORALAB 1.0
Weight CORUWFUS 0
Weight CORBUZZ 0.2
Weight CORUWES 0
Weight CORPUN 0.55
Weight CORCA 5
Weight CORACA 2
Weight CORCH 0
Weight CORACSUB 0
Weight CORCS 0
Weight CORVENG 0.05
Weight CORCV 5.0
Weight CORCK 4.2
Weight CORACK 2.7
Weight CORACV 1.8
Weight CORMOHO 0
Weight CORMMMKR 3.6

// Weights Kbots,vehicules and aircraft.
Weight ARMHAWK 6
Weight ARMBRAWL 4

Weight CORAPE 5
Weight CORVAMP 6

Weight ARMFLASH 6
Weight ARMMAV 1.5
Weight ARMMH 1.5
Weight ARMSAM 1.5
Weight ARMLATNK 3
Weight ARMFIDO 2.3
Weight ARMAMPH 0
Weight ARMMART 2.3
Weight ARMHAM 1
Weight ARMMERL 3
Weight ARMPW 10
Weight ARMBULL 0.5
Weight ARMYORK 0.7
Weight ARMANAC 0.1
Weight ARMSPID 0.65
Weight ARMDECOM 0
Weight ARMSCAB 1
Weight ARMASER 0
Weight ARMROCK 6.0
Weight ARMJETH 4.2

Weight CORSTORM 7
Weight CORCAN 3
Weight CORGOL 3
Weight CORMORT 2
Weight CORGATOR 4.0
Weight CORMIST 1.7
Weight CORHRK  1.4
Weight CORSUMO 2
Weight CORTHUD 2
Weight CORCRASH 5.2
Weight CORSENT 0.15
Weight CORVROC 2.1
Weight CORDECOM 0
Weight CORMAMB 0.8
Weight CORREAP 1

// ARM
// Limits: Aircraft, K-bots, Vehicles, Buildings
Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMBRAWL 10
Limit ARMFIG 20
Limit ARMHAWK 10
Limit ARMLANCE 0
Limit ARMPEEP 10
Limit ARMPNIX 2
Limit ARMTHUND 5

Limit ARMAMPH 0
Limit ARMASER 0
Limit ARMDECOM 0
Limit ARMFAST 10
Limit ARMFIDO 5
Limit ARMFLEA 10
Limit ARMHAM 3
Limit ARMJETH 8
Limit ARMMARK 0
Limit ARMMAV 0
Limit ARMPW 5
Limit ARMRECTR 10
Limit ARMROCK 10
Limit ARMSCORP 2
Limit ARMSEER 3
Limit ARMSNIPE 1
Limit ARMSPY 1
Limit ARMVADER 10
Limit ARMWAR 5
Limit ARMZEUS 5

Limit ARMBULL 3
Limit ARMFAV 0
Limit ARMFLASH 9
Limit ARMJAM 0
Limit ARMLATNK 3
Limit ARMMANNI 1
Limit ARMMART 7
Limit ARMMERL 5
Limit ARMMLV 2
Limit ARMSAM 12
Limit ARMSCAB 2
Limit ARMSPID 2
Limit ARMSTUMP 5
Limit ARMYORK 3

Limit ARMAMB 0
Limit ARMAMD 1
Limit ARMANNI 1
Limit ARMARAD 0
Limit ARMASP 2
Limit ARMBEAC 0
Limit ARMBRTHA 3
Limit ARMCKFUS 1
Limit ARMDEV1 0
Limit ARMDRAG 0
Limit ARMEMP 1
Limit ARMESTOR 2
Limit ARMFLAK 12
Limit ARMFORT 0
Limit ARMFUS 2
Limit ARMGEO 7
Limit ARMGUARD 3
Limit ARMHLT 3
Limit ARMLLT 0
Limit ARMMAKR 0
Limit ARMMEX 10
Limit ARMMMKR 10
Limit ARMMOHO 0
Limit ARMMSTOR 3
Limit ARMRAD 0
Limit ARMSILO 1
Limit ARMRL 40
Limit ARMSOLAR 0
Limit ARMTARG 0
Limit ARMVULC 1
Limit ARMWIN 10

//CORE
// Limits: Aircraft, K-bots, Vehicles, Buildings
Limit CORAPE 24
Limit CORAWAC 0
Limit CORBVALK 0
Limit CORFINK 10
Limit CORHURC 10
Limit CORSHAD 5
Limit CORTITAN 5
Limit CORVALK 0
Limit CORVAMP 30
Limit CORVENG 16

Limit CORAMPH 13
Limit CORAK 0
Limit CORCAN 0
Limit CORCRASH 18
Limit CORDECOM 0
Limit CORFAST 0
Limit CORKROG 1
Limit CORHRK  15
Limit CORMORT 5
Limit CORNECRO 1
Limit CORPYRO 0
Limit CORROACH 10
Limit CORSCORP 2
Limit CORSNIPE 1
Limit CORSPEC 0
Limit CORSPY 1
Limit CORSTORM 15
Limit CORSUMO 0
Limit CORTHUD 13
Limit CORVOYR 0

Limit CORETER 0
Limit CORFAV 0
Limit CORFING 0
Limit CORGATOR 10
Limit CORGOL 0
Limit CORLEVLR 5
Limit CORMART 5
Limit CORMIST 12
Limit CORMLV 2
Limit CORRAID 2
Limit CORREAP 5
Limit CORSENT 5
Limit CORVRAD 0
Limit CORVROC 15

Limit CORARAD 0
Limit CORASP 2
Limit CORBEAC 1
Limit CORBUZZ 1
Limit CORCKFUS 1
Limit CORDEV1 0
Limit CORDOOM 2
Limit CORDRAG 0
Limit CORESTOR 0
Limit CORFDRAG 5
Limit CORFMD 2
Limit CORFLAK 10
Limit CORFORT 0
Limit CORFUS 2
Limit CORGEO 7
Limit CORHLT 5
Limit CORINT 4
Limit CORLLT 0
Limit CORMAKR 0
Limit CORMEX 20
Limit CORMMKR 4
Limit CORMOHO 10
Limit CORMSTOR 0
Limit CORPUN 4
Limit CORRAD 2
Limit CORRL 40
Limit CORSILO 1
Limit CORSOLAR 0
Limit CORTARG 0
Limit CORTOAST 0
Limit CORTRON 2
Limit CORVIPE 1
Limit CORWIN 10

plan easy

// Limits factories and c-units for Easy diff.
Limit ARMAAP 1
Limit ARMALAB 1
Limit ARMAVP 1
Limit ARMAP 1
Limit ARMLAB 1
Limit ARMVP 2

Limit ARMACA 1
Limit ARMACK 1
Limit ARMACV 1
Limit ARMCA 1
Limit ARMCK 1
Limit ARMCV 2

Limit CORAAP 1
Limit CORALAB 1
Limit CORAVP 1
Limit CORAP 1
Limit CORGANT 0
Limit CORLAB 1
Limit CORVP 2

Limit CORACA 1
Limit CORACK 1
Limit CORACV 1
Limit CORCA 1
Limit CORCK 1
Limit CORCV 2
Limit level2 20
Limit level3 4

plan medium

// Limits factories and c-units for Medium diff.
Limit ARMAAP 2
Limit ARMALAB 1
Limit ARMAVP 1
Limit ARMAP 1
Limit ARMLAB 1
Limit ARMVP 03
Limit ARMACA 2
Limit ARMACK 2
Limit ARMACV 1
Limit ARMCA 4
Limit ARMCK 1
Limit ARMCV 2

Limit CORAAP 2
Limit CORALAB 1
Limit CORAVP 1
Limit CORAP 1
Limit CORGANT 0 
Limit CORLAB 1
Limit CORVP 2

Limit CORACA 4
Limit CORACK 1
Limit CORACV 1
Limit CORCA 4
Limit CORCK 2
Limit CORCV 2

plan hard

// Limits factories and c-units for Hard diff.
Limit ARMAAP 6
Limit ARMAVP 3
Limit ARMAP 1
Limit ARMLAB 2
Limit ARMVP 4

Limit ARMACA 6
Limit ARMACK 2
Limit ARMACV 2
Limit ARMCA 8
Limit ARMCK 3
Limit ARMCV 2

Limit CORAAP 6
Limit CORALAB 3
Limit CORAVP 2
Limit CORAP 1
Limit CORGANT 0
Limit CORLAB 2
Limit CORVP 4

Limit CORACA 6
Limit CORACK 2
Limit CORACV 2
Limit CORCA 8
Limit CORCK 3
Limit CORCV 2

// Nicolás B.
// Nicokzz@usa.net
