// Bardi´s Ai v 1.5 .2
// Only Water maps
// Weights resource production.

Weight ARMGEO 0
Weight ARMFUS 0
Weight ARMTIDE 20
Weight ARMCA 0
Weight ARMACA 0
Weight ARMCH 7
Weight ARMAP 0
Weight ARMACK 0
Weight ARMCK 0
Weight ARMFRL 10
Weight ARMMEX 0
Weight ARMPLAT 3
Weight ARMHP 3
Weight ARMCS 7
Weight ARMSY 4
Weight ARMAAP 0
Weight ARMSOLAR 2
Weight ARMFLA 3
Weight ARMRL 0
Weight ARMACSUB 4
Weight ARMASY 3
Weight ARMBRTHA 0
Weight ARMMMKR 1
Weight ARMALAB 0
Weight ARMFMKR 6
Weight ARMLAB 0
Weight ARMVP 0
Weight ARMUWES 2
Weight ARMUWFUS 2
Weight ARMATL 0
Weight ARMGUARD 0
Weight ARMVULC 0
Weight ARMFIG 0
Weight ARMMOHO 0
Weight ARMMKR 0

Weight CORGEO 0
Weight CORFUS 0
Weight CORTIDE 20
Weight CORFRL 10
Weight CORSY 5
Weight CORMEX 0
Weight CORAP 0
Weight CORAAP 0
Weight CORVP 0
Weight CORHP 5
Weight CORPLAT 4
Weight CORASY 3
Weight CORSOLAR 2
Weight CORFLAK 0
Weight CORINT 0
Weight CORRL 0
Weight CORMMKR 0
Weight CORFMKR 6
Weight CORLAB 0
Weight CORALAB 0
Weight CORUWFUS 2
Weight CORBUZZ 0
Weight CORUWES 4
Weight CORPUN 0
Weight CORCA 0
Weight CORACA 0
Weight CORCH 4
Weight CORACSUB 5
Weight CORCS 7
Weight CORVENG 0
Weight CORCV 0
Weight CORCK 0
Weight CORACK 0
Weight CORACV 0
Weight CORMOHO 0
Weight CORMMMKR 1

// Weights Hovercraft, Ships and aircraft.
Weight ARMPT 15
Weight ARMCRUS 7
Weight ARMAAS 1.5
Weight ARMCARRY 1.1
Weight ARMSS 0.5
Weight ARMROY 0.8
Weight ARMBATS 2
Weight ARMMSHIP 1
Weight ARMSUB 3

Weight ARMSEAP 10
Weight ARMSFIG 10

Weight CORPT 17
Weight CORCRUS 6
Weight CORARCH 1.8
Weight CORCARRY 1.2
Weight CORBATS 2
Weight CORROY 0.3
Weight CORMSHIP 1
Weight CORSSUB 0.5
Weight CORSUB 3

Weight CORAPE 5
Weight CORVAMP 2
Weight CORSFIG 3

Weight CORAH 10
Weight CORMH 8
Weight CORSNAP 10

// ARM
// Limits: Aircraft, K-bots, Vehicles, Buildings

Limit ARMAMB 0
Limit ARMAMD 1
Limit ARMANNI 1
Limit ARMARAD 0
Limit ARMASP 2
Limit ARMBEAC 0
Limit ARMBRTHA 3
Limit ARMCKFUS 1
