/
-Date: 03-13-2001
-Auth: Sage_Z
-Name: Roughy AI
-Used: Small AI Designer Build 1.1.3
-Parent AIs: BlackFe, McnTerra
/

/ Build Priorities  /
/ Workers /

Weight Armack 6
Weight Armacv 6
Weight Coraca 6
Weight Armaca 7
Weight Armcv 0.4
Weight Corcs 0
Weight Corca 5
Weight Corack 8
Weight Coracv 7
Weight Corck 7
Weight Armch 9
Weight Armmlv 0
Weight Corch 8
Weight Cormlv 0
Weight Szarmacv 10
Weight Szarmcv 10
Weight Szcorck 10
Weight Szcoracv 10
Weight Szcoraca 10
Weight Szarmaca 10
Weight Szarmack 10
Weight Szcorack 10
Weight Szcorca 10
Weight Szcorcs 0

/ Commanders /

Weight Armcom 0
Weight Corcom 0
Weight Cordecom 0.05
Weight Armdecom 2

/ Aircraft /

Weight Armbrawl 0.2
Weight Armca 8
Weight Armfig 0.05
Weight Armatlas 0
Weight Armhawk 9
Weight Armlance 0
Weight Cortitan 0
Weight Armpeep 0
Weight Armpnix 0
Weight Corvalk 0
Weight Armthund 0
Weight Corshad 0
Weight Corfink 0
Weight Corvamp 6
Weight Corveng 0.05
Weight Corape 3
Weight Corhurc 0
Weight Armseap 2
Weight Armsehak 0
Weight Corcsa 0
Weight Armsfig 0.7
Weight Corawac 0
Weight Armawac 0
Weight Armcsa 0
Weight Corseap 1.5
Weight Corsfig 0.9
Weight Corhunt 0
Weight Szarmca 10

/ Tanks /

Weight Armcroc 0
Weight Armfav 0
Weight Armflash 9
Weight Armjam 0
Weight Armmart 0.3
Weight Armmerl 9
Weight Cormart 0
Weight Cormist 0.9
Weight Cortruck 0
Weight Correap 0
Weight Corvrad 0
Weight Corvroc 0.1
Weight Armstump 0
Weight Corcv 0.6
Weight Corseal 0
Weight Corraid 3
Weight Corgator 2
Weight Corgol 3
Weight Coreter 0
Weight Armsam 0.9
Weight Armseer 0
Weight Corfav 0
Weight Armspid 5
Weight Armbull 6
Weight Armmh 1.5
Weight Armlatnk 2
Weight Armah 0.9
Weight Armthovr 0
Weight Corah 3
Weight Armmanni 0
Weight Corsh 0
Weight Armanac 0.1
Weight Armsh 0
Weight Corthovr 0
Weight Corlevlr 0
Weight Corsnap 0.6
Weight Cormh 0.6
Weight Corsent 0.2
Weight Armyork 0.1
Weight Cormabm 0
Weight Szcorcv 2
Weight Szarmaser 2
Weight Szcoreter 2
Weight Szcorspec 2
Weight Szarmjam 2

/ Kbots /

Weight Armaser 0
Weight Armfast 0
Weight Armfido 4
Weight Armvader 0
Weight Corak 0
Weight Armham 5
Weight Armjeth 0
Weight Armck 8
Weight Corthud 3
Weight Corstorm 9
Weight Corroach 0
Weight Corcan 3
Weight Corpyro 10
Weight Armrock 9
Weight Armzeus 0
Weight Corspec 0
Weight Corcrash 2
Weight Armpw 0.2
Weight Armmav 9
Weight Armwar 0
Weight Armmark 0
Weight Corspy 0
Weight Armspy 0
Weight Cormort 1.2
Weight Corvoyr 0
Weight Corkrog 9
Weight Corfast 0
Weight Coramph 0
Weight Corsumo 0.6
Weight Armamph 0.9
Weight Corhrk 0.9
Weight Armsnipe 0
Weight Armflea 0
Weight Armfark 0
Weight Cornecro 0
Weight Szarmck 10

/ Ships, Sub, And Water-units /

Weight Armtl 0
Weight Armcarry 1.1
Weight Armcrus 3
Weight Armcs 0
Weight Armtship 0
Weight Corcrus 2
Weight Armsubk 0
Weight Corsonar 0
Weight Cormship 0.3
Weight Cortl 0
Weight Cortide 0
Weight Corbats 0.9
Weight Armtide 0
Weight Corsub 0.1
Weight Armmship 0.15
Weight Cortship 0
Weight Corroy 0.3
Weight Armpt 9
Weight Armsub 0
Weight Corshark 0
Weight Corpt 8
Weight Armroy 0.3
Weight Armbats 0
Weight Corcarry 1.2
Weight Armsonar 0
Weight Armaas 1.5
Weight Coracsub 0
Weight Coratl 0
Weight Armfrt 0
Weight Armacsub 0
Weight Armatl 0
Weight Armason 0
Weight Armscram 0
Weight Corarch 1.2
Weight Armsjam 0
Weight Corason 0
Weight Corsjam 0
Weight Corfhlt 0
Weight Corfrt 0
Weight Armfhlt 0
Weight Corssub 0.2
Weight Szarmcs 0

