// sludge AI profile
// This is a slightly modifided version of Switeck's Metal Land Map ai v11.4
// Weights
Weight ARMGEO 1
Weight ARMRL 1
Weight ARMSOLAR 0.95
Weight ARMMEX 0.8
Weight ARMVP 0.6
Weight ARMLAB 0.5
Weight ARMHLT 0.4
Weight ARMAVP 0.35
Weight ARMESTOR 0.3
Weight ARMAAP 0.25
Weight ARMAP 0.2
Weight ARMALAB 0.15
Weight ARMGUARD 0.1
Weight ARMHP 0.00

Weight ARMFUS 0.95
Weight ARMBRTHA 0.7
Weight ARMASP 0.5
Weight ARMMOHO 0.4
Weight ARMFLAK 0.3

Weight ARMHAWK 0.8
Weight ARMBRAWL 0.4
Weight ARMFIG 0.05

Weight ARMACA 1
Weight ARMACK 1
Weight ARMACV 1
Weight ARMCA 1
Weight ARMCH 1
Weight ARMCK 0.7
Weight ARMCV 0.5

Weight ARMAH 0.95
Weight ARMMH 0.4
Weight ARMANAC 0.05

Weight ARMROCK 1
Weight ARMHAM 0.3

Weight ARMMAV 0.95
Weight ARMAMPH 0.6
Weight ARMSNIPE 0.1
Weight ARMDECOM 0.05

Weight ARMFLASH 1
Weight ARMSAM 0.9

Weight ARMLATNK 0.95
Weight ARMMERL 0.7
Weight ARMBULL 0.4
Weight ARMMART 0.1

Weight CORGEO 1
Weight CORSOLAR 1
Weight CORMEX 0.8
Weight CORRL 0.7
Weight CORLAB 0.6
Weight CORVP 0.5
Weight CORHLT 0.4
Weight CORESTOR 0.3
Weight CORALAB 0.25
Weight CORAVP 0.2
Weight CORAP 0.15
Weight CORAAP 0.1
Weight CORPUN 0.05
Weight CORHP 0.00

Weight CORFUS 1
Weight CORGANT 0.9
Weight CORINT 0.7
Weight CORMOHO 0.6
Weight CORASP 0.5
Weight CORTOAST 0.4
Weight CORFLAK 0.3
Weight CORDOOM 0.2

Weight CORAPE 0.8
Weight CORVAMP 0.6
Weight CORVENG 0.05

Weight CORACA 1
Weight CORACK 1
Weight CORACV 1
Weight CORCA 1
Weight CORCH 1
Weight CORCK 0.5
Weight CORCV 0.7

Weight CORAH 0.8
Weight CORMH 0.5
Weight CORSNAP 0.1

Weight CORSTORM 1
Weight CORTHUD 0.3
Weight CORCRASH 0.25

Weight CORKROG 1
Weight CORMORT 1
Weight CORCAN 0.9
Weight CORHRK  0.6
Weight CORSUMO 0.35
Weight CORDECOM 0.05

Weight CORMIST 1
Weight CORGATOR 0.8

Weight CORGOL 1
Weight CORVROC 0.3

//Special ai-only buildings
Weight ACKFUS 1
Weight ARMAIVP 1
Weight FLUXOR 1
Weight NUKEA 0.4
Weight AAIEMP 0.1
Limit ACKFUS 4
Limit FLUXOR 1

Weight CAIGANT 1
Weight CCKFUS 1
Weight Quark 1
Weight NUKEC 0.4
Weight CAITRON 0.1
Limit CCKFUS 4
Limit Quark 1

// ai-only aircraft
Weight AAIBRAWL 0.6
Weight AAIFIG 0.3
Weight AAIHAWK 1
Weight AAILANCE 0
Weight AAIPNIX 0.3
Weight AAITHUND 0.2
Limit AAIBRAWL 24
Limit AAIFIG 14
Limit AAIHAWK 50
Limit AAILANCE 0
Limit AAIPNIX 24
Limit AAITHUND 12

Weight CAIAPE 1
Weight CAIHURC 0.5
Weight CAISHAD 0.2
Weight CAITITAN 0
Weight CAIVAMP 0.9
Weight CAIVENG 0.4
Limit CAIAPE 30
Limit CAIHURC 26
Limit CAISHAD 16
Limit CAITITAN 0
Limit CAIVAMP 40
Limit CAIVENG 20

// 3rd party

weight TURNER 1
weight ARMKAM 0.05
