/
-Date: 01-11-2002
-Auth: N/A
-Name: StrategicBridge AI
-Used: Small AI Designer Build 1.1.3
/

/ Build Priorities  /
/ Workers /

Weight Armaca 2
Weight Armack 4
Weight Armacv 4
Weight Armch 3
Weight Armcv 4
Weight Armmlv 0
Weight Coraca 2
Weight Corack 4
Weight Coracv 4
Weight Corca 3
Weight Corch 3
Weight Corck 4
Weight Corcs 1.2
Weight Cormlv 0
Weight Szarmaca 0
Weight Szarmack 0
Weight Szarmacv 0
Weight Szarmcv 0
Weight Szcoraca 0
Weight Szcorack 0
Weight Szcoracv 0
Weight Szcorca 0
Weight Szcorck 0
Weight Szcorcs 0

/ Commanders /

Weight Armcom 0
Weight Armdecom 0.1
Weight Corcom 0
Weight Cordecom 0.1

/ Aircraft /

Weight Armatlas 0
Weight Armawac 0
Weight Armbrawl 2
Weight Armca 3
Weight Armcsa 0
Weight Armfig 1
Weight Armhawk 2
Weight Armlance 0
Weight Armpeep 0
Weight Armpnix 1.5
Weight Armseap 0
Weight Armsehak 0
Weight Armsfig 0
Weight Armthund 1.5
Weight Corape 1.5
Weight Corawac 0
Weight Corcsa 0
Weight Corfink 0
Weight Corhunt 0
Weight Corhurc 1.5
Weight Corseap 0
Weight Corsfig 0
Weight Corshad 1.5
Weight Cortitan 0
Weight Corvalk 0
Weight Corvamp 1.5
Weight Corveng 1.01
Weight Szarmca 0

/ Tanks /

Weight Armah 0
Weight Armanac 0.1
Weight Armbull 2
Weight Armcroc 2
Weight Armfav 1.5
Weight Armflash 1.5
Weight Armjam 0
Weight Armlatnk 2
Weight Armmanni 2
Weight Armmart 2
Weight Armmerl 2
Weight Armmh 0.1
Weight Armsam 1.5
Weight Armscab 0
Weight Armseer 0
Weight Armsh 0
Weight Armspid 2
Weight Armstump 1.5
Weight Armthovr 0
Weight Armyork 2
Weight Corah 0
Weight Corcv 4
Weight Coreter 0
Weight Corfav 1.5
Weight Corgator 1.5
Weight Corgol 2
Weight Corlevlr 1.5
Weight Cormabm 0
