//AIDeadZone
//Created by andrewace3158

//AI for all levels of difficulty

Weight ARM 0.2
Weight CORE 0.2

Weight CONSTR 4

//ARM

Weight ARMANNI 0.25
Weight ARMBRTHA 0.25
Weight ARMGUARD 0.5
Weight ARMHLT 0.5
Weight ARMPEEP 0.5

Weight ARMBRAWL 2
Weight ARMGEO 20
Weight ARMMEX 8
Weight ARMMOHO 8
Weight ARMRL 6
Weight ARMSOLAR 6
Weight ARMSY 4

Limit ARMAAP 4
Limit ARMAAS 1
Limit ARMACA 0
Limit ARMACK 3
Limit ARMACSUB 0
Limit ARMACV 3
Limit ARMAH 4
Limit ARMALAB 1
Limit ARMAMB 4
Limit ARMAMD 0
Limit ARMAMPH 4
Limit ARMANAC 12
Limit ARMANNI 1
Limit ARMAP 3
Limit ARMARAD 1
Limit ARMASER 0
Limit ARMASON 0
Limit ARMASP 2
Limit ARMASY 2
Limit ARMATL 0
Limit ARMATLAS 0
Limit ARMAVP 1
Limit ARMAWAC 0
Limit ARMBATS 1
Limit ARMBEAC 0
Limit ARMBRAWL 12
Limit ARMBRTHA 3
Limit ARMBULL 0
Limit ARMCA 8
Limit ARMCARRY 0
Limit ARMCH 0
Limit ARMCK 2
Limit ARMCKFUS 0
Limit ARMCOM 0
Limit ARMCROC 4
Limit ARMCRUS 0
Limit ARMCS 2
Limit ARMCSA 0
Limit ARMCV 2
Limit ARMDECOM 0
Limit ARMDEV1 0
Limit ARMDRAG 0
Limit ARMEMP 0
Limit ARMESTOR 0
Limit ARMFARK 4
Limit ARMFAST 0
Limit ARMFAV 0
Limit ARMFDRAG 0
Limit ARMFHLT 4
Limit ARMFIDO 0
Limit ARMFIG 6
Limit ARMFLAK 2
Limit ARMFLASH 0
Limit ARMFLEA 0
Limit ARMFMKR 0
Limit ARMFORT 0
Limit ARMFRT 8
Limit ARMFUS 1
Limit ARMGATE 0
//Does not restrict ARMGEO
Limit ARMGUARD 4
Limit ARMHAM 0
Limit ARMHAWK 8
Limit ARMHLT 4
Limit ARMHP 4
Limit ARMJAM 0
Limit ARMJETH 0
Limit ARMLAB 1
Limit ARMLANCE 0
Limit ARMLATNK 0
Limit ARMLLT 0
Limit ARMMAKR 0
Limit ARMMANNI 0
Limit ARMMARK 0
Limit ARMMART 0
Limit ARMMAV 0
Limit ARMMERL 0
Limit ARMMEX 20
Limit ARMMH 6
Limit ARMMINE1 0
Limit ARMMINE2 0
Limit ARMMINE3 0
Limit ARMMINE4 0
Limit ARMMINE5 0
Limit ARMMINE6 0
Limit ARMMLV 0
Limit ARMMMKR 0
Limit ARMMOHO 15
Limit ARMMSHIP 2
Limit ARMMSTOR 0
Limit ARMPEEP 1
Limit ARMPLAT 0
Limit ARMPNIX 2
Limit ARMPT 2
Limit ARMPW 0
Limit ARMRAD 0
Limit ARMRL 16
Limit ARMROCK 0
Limit ARMROY 3
Limit ARMSAM 0
Limit ARMSCAB 0
Limit ARMSCORP 0 
Limit ARMSCRAM 0
Limit ARMSEAP 0
Limit ARMSEER 0
Limit ARMSEHAK 0
Limit ARMSFIG 0
Limit ARMSH 2
Limit ARMSILO 0
Limit ARMSJAM 1
Limit ARMSNIPE 0
Limit ARMSOLAR 15
Limit ARMSONAR 0
Limit ARMSPID 0
Limit ARMSPY 0
Limit ARMSS 0
Limit ARMSTUMP 0
Limit ARMSUB 2
Limit ARMSUBK 0
Limit ARMSY 2
Limit ARMTARG 1
Limit ARMTHOVR 0
Limit ARMTHUND 2
Limit ARMTIDE 0
Limit ARMTL 4
Limit ARMTSHIP 0
Limit ARMUWES 0
Limit ARMUWFUS 0
Limit ARMUWMEX 0
Limit ARMUWMS 0
Limit ARMVADER 0
Limit ARMVP 1
Limit ARMVULC 0
Limit ARMWAR 0
Limit ARMWIN 0
Limit ARMYORK 0
Limit ARMZEUS 0

//CORE

Weight CORAPE 2
Weight CORDOOM 0.25
Weight CORFINK 0.5
Weight CORGEO 20
Weight CORHLT 0.5
Weight CORINT 0.25
Weight CORMEX 8
Weight CORMOHO 8
Weight CORPUN 0.5
Weight CORRL 6
Weight CORSOLAR 6
Weight CORSY 4

Limit CORAAP 4
Limit CORACA 0
Limit CORACK 3
Limit CORACSUB 0
Limit CORACV 3
Limit CORAH 4
Limit CORAK 0
Limit CORALAB 1
Limit CORAMPH 4
Limit CORAP 3
Limit CORAPE 12
Limit CORARAD 1
Limit CORARCH 1
Limit CORASON 0
Limit CORASP 2
Limit CORASY 2
Limit CORATL 0
Limit CORAVP 1
Limit CORAWAC 0
Limit CORBATS 1
Limit CORBEAC 0
Limit CORBUILD 0
Limit CORBUZZ 0
Limit CORCA 8
Limit CORCAN 0
Limit CORCARRY 0
Limit CORCH 0
Limit CORCK 2
Limit CORCKFUS 0
Limit CORCOM 0
Limit CORCRASH 0
Limit CORCRUS 0
Limit CORCS 2
Limit CORCSA 0
Limit CORCV 2
Limit CORDECOM 0
Limit CORDEV1 0
Limit CORDOOM 1
Limit CORDRAG 0
Limit CORESTOR 0
Limit CORETER 0
Limit CORFAST 0
Limit CORFAV 0
Limit CORFDRAG 0
Limit CORFHLT 4
Limit CORFINK 1
Limit CORFLAK 2
Limit CORFMD 0
Limit CORFMKR 0
Limit CORFORT 0
Limit CORFRT 8
Limit CORFUS 1
Limit CORGANT 0
Limit CORGATE 0
Limit CORGATOR 0
//Does not restrict CORGEO
Limit CORGOL 0
Limit CORHLT 4
Limit CORHP 4
Limit CORHRK 0
Limit CORHUNT 0
Limit CORHURC 2
Limit CORINT 3
Limit CORKROG 0
Limit CORLAB 1
Limit CORLEVLR 0
Limit CORLLT 0
Limit CORMABM 0
Limit CORMAKR 0
Limit CORMART 0
Limit CORMEX 20
Limit CORMH 6
Limit CORMINE1 0
Limit CORMINE2 0
Limit CORMINE3 0
Limit CORMINE4 0
Limit CORMINE5 0
Limit CORMINE6 0
Limit CORMIST 0
Limit CORMLV 0
Limit CORMMKR 0
Limit CORMOHO 15
Limit CORMORT 0
Limit CORMSHIP 2
Limit CORMSTOR 0
Limit CORNECRO 0
Limit CORPLAS 0
Limit CORPLAT 0
Limit CORPT 2
Limit CORPUN 4
Limit CORPYRO 0
Limit CORRAD 0
Limit CORRAID 0
Limit CORREAP 0
Limit CORRL 16
Limit CORROACH 0
Limit CORROY 3
Limit CORSCORP 0
Limit CORSEAL 4
Limit CORSEAP 0
Limit CORSENT 0
Limit CORSFIG 0
Limit CORSH 2
Limit CORSHAD 2
Limit CORSHARK 0
Limit CORSILO 0
Limit CORSJAM 1
Limit CORSNAP 12
Limit CORSOLAR 15
Limit CORSONAR 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSS 0
Limit CORSSUB 0
Limit CORSTORM 0
Limit CORSUB 2
Limit CORSUMO 0
Limit CORSY 2
Limit CORTARG 1
Limit CORTHOVR 0
Limit CORTHUD 0
Limit CORTIDE 0
Limit CORTITAN 0
Limit CORTL 4
Limit CORTOAST 4
Limit CORTRON 0
Limit CORTRUCK 0
Limit CORTSHIP 0
Limit CORUWES 0
Limit CORUWFUS 0
Limit CORUWMEX 0
Limit CORUWMS 0
Limit CORVALK 0
Limit CORVAMP 8
Limit CORVENG 6
Limit CORVIPE 0
Limit CORVOYR 0
Limit CORVP 1
Limit CORVRAD 0
Limit CORVROC 0
Limit CORWIN 0
