//Jeepster777 Abandon Hope 10/31/03

Plan Easy
Weight ARMGEO	0
Weight ARMFUS	9
Weight ARMSOLAR	.5
Weight ARMMEX	20 
Weight ARMESTOR	4.5
Weight ARMMSTOR	4.5
Weight ARMUWMEX 0
Weight ARMTIDE	0
Weight ARMUWES	0
Weight ARMUWMS	0
Weight ARMMMKR	0.5
Weight ARMWIN   20

Weight CORGEO	0
Weight CORFUS	9
Weight CORSOLAR	.5
Weight CORMEX	20
Weight CORESTOR	4.5
Weight CORMSTOR	4.5
Weight CORUWMEX	0.5
Weight CORTIDE	0.5
Weight CORUWES	0
Weight CORUWMS	0
Weight CORMMKR	0.5
Weight CORWIN   20
Weight ARMAMEX  0

Weight ARMAAP 	50
Weight ARMAVP 	10
Weight ARMALAB 	4
Weight ARMVP	10
Weight ARMLAB 	20
Weight ARMAP 	70
Weight ArmHKLab .5
Weight ARMHP    1
Weight ARMAHP   1

Weight CORAAP	50
Weight CORAVP	20
Weight CORALAB	4
Weight CORVP	20
Weight CORLAB	10
Weight CORAP	70
Weight CORGANT	.5
Weight CORHP    1
Weight CORAHP   1

Weight ARMBRTHA	2.25
Weight ARMRL	20
Weight ARMHLT	3.5
Weight ARMFLAK	2.25
Weight ARMLLT	5
Weight ARMGUARD	8
Weight ARMANNI	1
Weight ARMAMB	0.5
Weight ARMVULC	0.5

Weight CORINT	2.25
Weight CORRL	20
Weight CORHLT	3.25
Weight CORVIPE	4
Weight CORFLAK	2.25
Weight CORPLAS	4
Weight CORLLT	2.25
Weight CORPUN	8
Weight CORDOOM	.5
Weight CORTOAST	2
Weight CORBUZZ	.5

Weight ARMASP	5

Weight CORASP	5

Weight ARMCK 	70
Weight ARMROCK 	12
Weight ARMHAM	3
Weight ARMJETH 	0.5
Weight ARMPW 	0.5
Weight ARMWAR	0.05
Weight ARMFLEA	20

Weight CORCK	70
Weight CORSTORM	12
Weight CORTHUD	3
Weight CORCRASH	3
Weight CORAK	8

Weight ARMACK 	40
Weight ARMFARK	9
Weight ARMASER	2
Weight ARMAMPH	0
Weight ARMMAV	6.25
Weight ARMDECOM	0.75
Weight ARMFIDO 	33
Weight ARMSNIPE	0.2
Weight ARMZEUS	0.5
Weight ARMFAST	0.5

Weight CORACK	40
Weight CORSPEC	0
Weight CORMORT	8
Weight CORCAN	3
Weight CORHRK	4
Weight CORDECOM	0.75
Weight CORSUMO	0.5
Weight CORAMPH	0
Weight CORPYRO	1
Weight CORFAST	0.1

Weight CORKROG	1

Weight ARMCV 	33
Weight ARMSAM	22
Weight ARMFLASH	11
Weight ARMSTUMP	2
Weight ARMFAV	70

Weight CORCV	33
Weight CORMIST	12
Weight CORGATOR	12
Weight CORRAID	2
Weight CORLEVLR	0.5
Weight CORFAV	20

Weight CORCH    8
Weight CORSNAP  8
Weight CORMH    2.25
Weight CORSH    17.25
Weight CORAH    .5
Weight CORTHOVR 0

Weight ARMCH    8
Weight ARMANAC  8
Weight ARMSH    17.25
Weight ARMAH    2.25
Weight ARMMH    .5
Weight ARMTHOVR 0

Weight ARMACV 	5
Weight ARMJAM	.5
Weight ARMLATNK	11
Weight ARMMERL	7
Weight ARMBULL	2
Weight ARMYORK	2
Weight ARMMANNI	1
Weight ARMCROC	0
Weight ARMMART	0
Weight ARMSPID	2

Weight CORACV	5
Weight CORETER	1
Weight CORGOL	8
Weight CORVROC	2
Weight CORSENT	1
Weight CORREAP	20
Weight CORSEAL	0
