//BOOTY KICKER MWAA

Weight ARM 0.2
Weight CORE 0.2

Weight ARMRAD 0.25
Weight CORRAD 0.25

Weight ARMMAKR .1
Weight CORMAKR .1

Weight ARMVP 8
Weight CORVP 6
Weight ARMLAB 6
Weight CORLAB 8
Weight ARMAP 3
Weight CORAP 3
Weight ARMHP 1
Weight CORHP 1

Weight CONSTR 4

// encourages advanced units

Weight ARMACA 4
Weight ARMACK 4
Weight ARMACV 4

Weight CORACA 4
Weight CORACK 4
Weight CORACV 4

Weight SPECIAL 3
Weight LEVEL3 4

// adjust unit build

Weight ARMBRAWL 7
Weight ARMBRTHA 4
Weight ARMDECOM .5
Weight ARMFIDO 6
Weight ARMFLAK 4
Weight ARMFUS 6
Weight ARMMAV 4
Weight ARMRL 6
Weight ARMWIN 6

Weight CORAPE 7
Weight CORCAN 4
Weight CORDECOM .5
Weight CORFLAK 4
Weight CORFUS 6
Weight CORGANT 8
Weight CORINT 4
Weight CORKROG 8
Weight CORRL 4
Weight CORSUMO 4
Weight CORWIN 4
Weight CORMORT 5
Weight CORFAST 2

Limit constr 6
Limit plant 6

//ARM

Limit ARMAAP 3
Limit ARMACA 2
Limit ARMACK 3
Limit ARMACV 3
Limit ARMALAB 3
Limit ARMAMD 0
Limit ARMANNI 6
Limit ARMAP 2
Limit ARMARAD 0
Limit ARMASER 1
Limit ARMASP 3
Limit ARMASY 0
Limit ARMATL 4
Limit ARMATLAS 0
Limit ARMAVP 3
Limit ARMBATS 0
Limit ARMBRAWL 32
Limit ARMBRTHA 4
Limit ARMBULL 18
Limit ARMCA 2
Limit ARMCARRY 0
Limit ARMCK 2
Limit ARMCROC 2
Limit ARMCRUS 0
Limit ARMCS 1
Limit ARMCV 3
Limit ARMDRAG 0
Limit ARMESTOR 1
Limit ARMFAST 14
Limit ARMFAV 5
Limit ARMFIDO 18
Limit ARMFIG 5
Limit ARMFLASH 12
Limit ARMFUS 8
Limit ARMGEO 8
Limit ARMGUARD 14
Limit ARMHAM 10
Limit ARMHAWK 16
Limit ARMHLT 16
Limit ARMJAM 0
Limit ARMJETH 4
Limit ARMLAB 2
Limit ARMLANCE 2
Limit ARMLLT 8
Limit ARMMAKR 0
Limit ARMMART 14
Limit ARMMERL 14
Limit ARMMEX 17
Limit ARMMOHO 6
Limit ARMMSHIP 0
Limit ARMMSTOR 1
Limit ARMPEEP 0
Limit ARMPNIX 12
Limit ARMPT 0
Limit ARMPW 12
Limit ARMRAD 0
Limit ARMRL 18
Limit ARMROCK 10
Limit ARMROY 2
Limit ARMSAM 12
Limit ARMSEER 0
Limit ARMSILO 0
Limit ARMSOLAR 0
Limit ARMSONAR 0
Limit ARMSPID 6
Limit ARMSTUMP 8
Limit ARMSUB 0
Limit ARMSUBK 0
Limit ARMSY 0
Limit ARMTHUND 6
Limit ARMTIDE 0
Limit ARMTL 2
Limit ARMTSHIP 0
Limit ARMVADER 0
Limit ARMVP 2
Limit ARMWIN 18
Limit ARMZEUS 12

// CORE

Limit CORAAP 3
Limit CORACA 2
Limit CORACK 4
Limit CORACV 3
Limit CORAK 10
Limit CORALAB 3
Limit CORAP 2
Limit CORAPE 25
Limit CORARAD 0
Limit CORASP 3
Limit CORASY 0
Limit CORAVP 3
Limit CORBATS 0
Limit CORCA 2
Limit CORCAN 8
Limit CORCARRY 0
Limit CORCK 3
Limit CORCRASH 12
Limit CORCRUS 1
Limit CORCS 0
Limit CORCV 3
Limit CORDOOM 4
Limit CORDRAG 0
Limit CORESTOR 1
Limit CORETER 0
Limit CORFAV 0
Limit CORFING 0
Limit CORFINK 0
Limit CORFMD 0
Limit CORFUS 8
Limit CORGATOR 14
Limit CORGEO 8
Limit CORGOL 24
Limit CORHLT 18
Limit CORHURC 4
Limit CORINT 4
Limit CORLAB 2
Limit CORLLT 12
Limit CORMAKR 0
Limit CORMART 18
Limit CORMEX 17
Limit CORMIST 15
Limit CORMOHO 3
Limit CORMSHIP 0
Limit CORMSTOR 1
Limit CORPT 0
Limit CORPUN 12
Limit CORPYRO 8
Limit CORRAD 0
Limit CORRAID 15
Limit CORREAP 20
Limit CORRL 18
Limit CORROACH 0
Limit CORROY 5
Limit CORSEAL 2
Limit CORSHAD 8
Limit CORSHARK 0
Limit CORSILO 0
Limit CORSOLAR 0
Limit CORSONAR 0
Limit CORSTORM 10
Limit CORSUB 0
Limit CORSY 0
Limit CORTHUD 14
Limit CORTIDE 0
Limit CORTITAN 2
Limit CORTL 2
Limit CORTSHIP 0
Limit CORVALK 0
Limit CORVAMP 14
Limit CORVENG 8
Limit CORVP 2
Limit CORVRAD 0
Limit CORVROC 18
Limit CORWIN 18

// TACC
Limit ARMACSUB 0
Limit ARMAAS 1
Limit ARMAH 4
Limit ARMAMPH 2
Limit ARMANAC 8
Limit ARMASON 0
Limit ARMATL 2
Limit ARMBEAC 0
Limit ARMCH 2
Limit ARMCSA 2
Limit ARMDECOM 1
Limit ARMDEV1 0
Limit ARMEMP 0
Limit ARMFDRAG 0
Limit ARMHP 2
Limit ARMMAV 12
Limit ARMMH 12
Limit ARMMINE1 0
Limit ARMMINE2 0
Limit ARMMINE3 0
Limit ARMMINE4 0
Limit ARMMINE5 0
Limit ARMMINE6 0
Limit ARMMLV 0
Limit ARMPLAT 1
Limit ARMRECTR 2
Limit ARMSCORP 0
Limit ARMSCRAM 0
Limit ARMSEAP 2
Limit ARMSEHAK 0
Limit ARMSFIG 2
Limit ARMSH 0
Limit ARMSPY 0
Limit ARMSS 0
Limit ARMTARG 0
Limit ARMTHOVR 0
Limit ARMUWES 0
Limit ARMUWFUS 2
Limit ARMUWMEX 4
Limit ARMUWMS 0

Limit CORACSUB 0
Limit CORAH 4
Limit CORAMPH 2
Limit CORARCH 1
Limit CORASON 0
Limit CORATL 2
Limit CORAWAC 0
Limit CORBEAC 0
Limit CORBUZZ 3
Limit CORCH 2
Limit CORCKFUS 0
Limit CORCSA 2
Limit CORDECOM 1
Limit CORDEV1 0
Limit CORFAST 12
Limit CORFDRAG 0
Limit CORGANT 2
Limit CORHP 2
Limit CORHUNT 1
Limit CORKROG 6
Limit CORMH 12
Limit CORMINE1 0
Limit CORMINE2 0
Limit CORMINE3 0
Limit CORMINE4 0
Limit CORMINE5 0
Limit CORMINE6 0
Limit CORMLV 0
Limit CORMMKR 0
Limit CORPLAT 1
Limit CORSCORP 0
Limit CORSEAP 2
Limit CORSFIG 2
Limit CORSH 0
Limit CORSNAP 4
Limit CORSNIPE 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSS 0
Limit CORSY 2
Limit CORTARG 0 
Limit CORTHOVR 0
Limit CORTRON 0
Limit CORUWES 0
Limit CORUWFUS 0
Limit CORUWMEX 4
Limit CORUWMS 0
Limit CORVIPE 7

//DOWNLOADABLE UNITS

Limit ARMAMB 4
Limit ARMAWAC 0
Limit ARMCKFUS 0
Limit ARMFHLT 2
Limit ARMFLAK 2
Limit ARMFMKR 0
Limit ARMFORT 0
Limit ARMFRT 4
Limit ARMLATNK 8
Limit ARMMARK 0
Limit ARMMMKR 0
Limit ARMSCAB 0
Limit ARMSJAM 0
Limit ARMVULC 3
Limit ARMWAR 8

Limit CORARCH 1
Limit CORBVALK 0
Limit CORFHLT 2
Limit CORFLAK 2
Limit CORFMKR 0
Limit CORFORT 0
Limit CORFRT 4
Limit CORHRK  12
Limit CORLEVLR 8
Limit CORMABM 0
Limit CORMORT 14
Limit CORNECRO 2
Limit CORSJAM 0
Limit CORSUMO 4
Limit CORTOAST 2
Limit CORVOYR 0
