//Ai Profile Devide
//Uses all 3.1 and BAI units
//Created By NERDsFist

//--->Weights for all units 

//ARM

Weight AAIAAP 0.4
Weight AAIACK 4
Weight AAIACV 4
Weight AAIALAB 4
Weight AAIAP 0.5
Weight AAIASER 0.9
Weight AAIAVP 3.6
Weight AAIBRAWL 1.5
Weight AAICA 3
Weight AAICK 3.7
Weight AAICV 2.5
Weight AAIDECOM 10
Weight AAIEMP 0
Weight AAIFIG 0
Weight AAIHAWK 6
Weight AAIJAM 1.7
Weight AAILAB 3
Weight AAILANCE 0
Weight AAIMEXX 5.7
Weight AAIMMKR 1.9
Weight AAIPNIX 2.6
Weight AAISFIG 0
Weight AAISILO 4
Weight AAISOLAR 0
Weight AAISOLRX 3
Weight AAITHUND 1
Weight AAIVP 4.5
Weight ARMAAP 1.5
Weight ARMACA 2
Weight ARMACK 7
Weight ARMACV 7
Weight ARMALAB 4
Weight ARMAMB 1
Weight ARMAMD 0
Weight ARMAMPH 0
Weight ARMANNI 0
Weight ARMAP 2
Weight ARMARAD 1.1
Weight ARMASER 0.9
Weight ARMASP 1
Weight ARMATLAS 0
Weight ARMAVP 3
Weight ARMAWAC 0
Weight ARMBRAWL 6
Weight ARMBRTHA 9
Weight ARMBULL 5
Weight ARMCA 3
Weight ARMCK 5
Weight ARMCKFUS 0
Weight ARMCOM 10
Weight ARMCROC 0
Weight ARMCS 5
Weight ARMCV 7
Weight ARMDECOM 1.2
Weight ARMEMP 0
Weight ARMESTOR 1.5
Weight ARMFARK 3
Weight ARMFAST 0
Weight ARMFAV 0
Weight ARMFIDO 1
Weight ARMFIG 0
Weight ARMFLAK 1.3
Weight ARMFLASH 5
Weight ARMFLEA 0
Weight ARMFUS 2
Weight ARMGEO 4
Weight ARMGUARD 2
Weight ARMHAM 3
Weight ARMHAWK 6.7
Weight ARMHLT 2
Weight ARMHP 0
Weight ARMJAM 1.2
Weight ARMJETH 0
Weight ARMLAB 3
Weight ARMLANCE 0
Weight ARMLATNK 2
Weight ARMLLT 0
Weight ARMMAKR 2
Weight ARMMANNI 0
Weight ARMMARK 0
Weight ARMMART 0
Weight ARMMAV 3
Weight ARMMERL 3
Weight ARMMEX 7
Weight ARMMLV 0
Weight ARMMMKR 3.5
Weight ARMMOHO 1.5
Weight ARMMSTOR 0
Weight ARMPEEP 0
Weight ARMPNIX 6.9
Weight ARMPW 2
Weight ARMRAD 1
Weight ARMRL 3
Weight ARMROCK 3
Weight ARMSAM 3
Weight ARMSCAB 0
Weight ARMSEER 0
Weight ARMSILO 0
Weight ARMSNIPE 0
Weight ARMSOLAR 5
Weight ARMSPID 0
Weight ARMSPY 0
Weight ARMSTUMP 2.6
Weight ARMTARG 0
Weight ARMTHUND 2
Weight ARMVADER 0
Weight ARMVP 5
Weight ARMVULC 0
Weight ARMWAR 0
Weight ARMWIN 3
Weight ARMYORK 1.2
Weight ARMZEUS 0

//CORE

Weight CAIAAP 0.4
Weight CAIACK 2.5
Weight CAIACV 4
Weight CAIALAB 4
Weight CAIAP 0
Weight CAIAPE 5.4
Weight CAIAVP 4
Weight CAICA 0.6
Weight CAICK 5
Weight CAICV 5
Weight CAIDECOM 1
Weight CAIGANT 3.4
Weight CAIHURC 1.9
Weight CAILAB 5
Weight CAIMEX 6.1
Weight CAIMEXX 7.3
Weight CAIMMKR 7.9
Weight CAISHAD 2.7
Weight CAISILO 2
Weight CAISOLAR 3
Weight CAISOLRX 7
Weight CAITITAN 0
Weight CAITRON 1
Weight CAIVAMP 4
Weight CAIVENG 0
Weight CAIVP 5
Weight CORAAP 2
Weight CORACA 3
Weight CORACK 3
Weight CORACV 4
Weight CORAK 0
Weight CORALAB 4
Weight CORAMPH 0
Weight CORAP 1.2
Weight CORAPE 6
Weight CORARAD 1
Weight CORASP 1.2
Weight CORAVP 2.5
Weight CORAWAC 0
Weight CORBUZZ 0
Weight CORCA 6
Weight CORCAN 3
Weight CORCK 4
Weight CORCKFUS 0
Weight CORCOM 10
Weight CORCRASH 0
Weight CORCV 6
Weight CORDECOM 2
Weight CORDOOM 2.1
Weight CORETER 1.1
Weight CORFAST 0
Weight CORFAV 0
Weight CORFINK 0
Weight CORFLAK 1.4
Weight CORFMD 0
Weight CORFUS 5
Weight CORGANT 5
Weight CORGATE 0
Weight CORGATOR 0
Weight CORGEO 0
Weight CORGOL 3
Weight CORHLT 2.5
Weight CORHP 0
Weight CORHRK 2.1
Weight CORHUNT 0
Weight CORHURC 4
Weight CORINT 0
Weight CORKROG 10
Weight CORLAB 4
Weight CORLEVLR 0
Weight CORLLT 0
Weight CORMABM 0
Weight CORMAKR 2
Weight CORMART 0
Weight CORMEX 5.5
Weight CORMIST 7
Weight CORMLV 0
Weight CORMMKR 2
Weight CORMOHO 2
Weight CORMORT 5
Weight CORMSTOR 0
Weight CORNECRO 0
Weight CORPLAS 0
Weight CORPUN 2
Weight CORPYRO 0
Weight CORRAD 0.5
Weight CORRAID 2
Weight CORREAP 0
Weight CORRL 6
Weight CORROACH 0
Weight CORSCORP 1
Weight CORSEAL 0
Weight CORSENT 1
Weight CORSHAD 1.5
Weight CORSOLAR 3
Weight CORSPEC 1
Weight CORSPY 0
Weight CORSTORM 7.5
Weight CORSUMO 3
Weight CORTARG 0
Weight CORTHUD 6
Weight CORTITAN 0
Weight CORTOAST 1.5
Weight CORTRON 0
Weight CORVALK 0
Weight CORVAMP 3
Weight CORVENG 0
Weight CORVIPE 2
Weight CORVOYR 0
Weight CORVP 5
Weight CORVRAD 0
Weight CORVROC 3.5
Weight CORWIN 2.5
Weight MTRUCK 0
Weight NukeA 3.1
Weight NukeC 2


//--->Limits for all units 

//ARM

Limit AAIAAP 3
Limit AAIACK 10
Limit AAIACV 10
Limit AAIALAB 2
Limit AAIAP 1
Limit AAIASER 8
Limit AAIAVP 3
Limit AAIBRAWL 10
Limit AAICA 3
Limit AAICK 4
Limit AAICV 9
Limit AAIDECOM 1
Limit AAIEMP 0
Limit AAIFIG 0
Limit AAIHAWK 50
Limit AAIJAM 6
Limit AAILAB 5
Limit AAILANCE 0
Limit AAIMEXX 11
Limit AAIMMKR 7
Limit AAIPNIX 40
Limit AAISFIG 0
Limit AAISILO 3
Limit AAISOLAR 0
Limit AAISOLRX 10
Limit AAITHUND 14
Limit AAIVP 5
Limit ARMAAP 4
Limit ARMACA 4
Limit ARMACK 6
Limit ARMACV 8
Limit ARMALAB 8
Limit ARMAMB 5
Limit ARMAMD 0
Limit ARMAMPH 0
Limit ARMANNI 0
Limit ARMAP 1
Limit ARMARAD 2
Limit ARMASER 5
Limit ARMASP 1
Limit ARMATLAS 0
Limit ARMAVP 8
Limit ARMAWAC 0
Limit ARMBRAWL 20
Limit ARMBRTHA 3
Limit ARMBULL 31
Limit ARMCA 10
Limit ARMCK 8
Limit ARMCKFUS 0
Limit ARMCOM 1
Limit ARMCROC 0
Limit ARMCS 8
Limit ARMCV 8
Limit ARMDECOM 3
Limit ARMEMP 0
Limit ARMESTOR 1
Limit ARMFARK 6
Limit ARMFAST 0
Limit ARMFAV 0
Limit ARMFIDO 30
Limit ARMFIG 0
Limit ARMFLAK 14
Limit ARMFLASH 30
Limit ARMFLEA 0
Limit ARMFUS 8
Limit ARMGEO 7
Limit ARMGUARD 8
Limit ARMHAM 30
Limit ARMHAWK 30
Limit ARMHLT 12
Limit ARMHP 0
Limit ARMJAM 6
Limit ARMJETH 0
Limit ARMLAB 8
Limit ARMLANCE 0
Limit ARMLATNK 30
Limit ARMLLT 0
Limit ARMMAKR 20
Limit ARMMANNI 0
Limit ARMMARK 0
Limit ARMMART 0
Limit ARMMAV 30
Limit ARMMERL 15
Limit ARMMEX 25
Limit ARMMLV 0
Limit ARMMMKR 5
Limit ARMMOHO 15
Limit ARMMSTOR 0
Limit ARMPEEP 0
Limit ARMPNIX 30
Limit ARMPW 10
Limit ARMRAD 3
Limit ARMRL 30
Limit ARMROCK 30
Limit ARMSAM 30
Limit ARMSCAB 0
Limit ARMSEER 0
Limit ARMSILO 0
Limit ARMSNIPE 0
Limit ARMSOLAR 36
Limit ARMSPID 0
Limit ARMSPY 0
Limit ARMSTUMP 30
Limit ARMTARG 0
Limit ARMTHUND 10
Limit ARMVADER 0
Limit ARMVP 6
Limit ARMVULC 0
Limit ARMWAR 0
Limit ARMWIN 30
Limit ARMYORK 4
Limit ARMZEUS 0

//CORE

Limit CAIAAP 3
Limit CAIACK 4
Limit CAIACV 8
Limit CAIALAB 8
Limit CAIAP 1
Limit CAIAPE 18
Limit CAIAVP 8
Limit CAICA 5
Limit CAICK 6
Limit CAICV 8
Limit CAIDECOM 2
Limit CAIGANT 1
Limit CAIHURC 35
Limit CAILAB 4
Limit CAIMEX 36
Limit CAIMEXX 25
Limit CAIMMKR 15
Limit CAISHAD 20
Limit CAISILO 1
Limit CAISOLAR 30
Limit CAISOLRX 15
Limit CAITITAN 0
Limit CAITRON 1
Limit CAIVAMP 43
Limit CAIVENG 0
Limit CAIVP 5
Limit CORAAP 5
Limit CORACA 3
Limit CORACK 5
Limit CORACV 8
Limit CORAK 0
Limit CORALAB 6
Limit CORAMPH 0
Limit CORAP 1
Limit CORAPE 30
Limit CORARAD 3
Limit CORASP 1
Limit CORAVP 6
Limit CORAWAC 0
Limit CORBUZZ 0
Limit CORCA 8
Limit CORCAN 30
Limit CORCK 8
Limit CORCKFUS 0
Limit CORCOM 2
Limit CORCRASH 0
Limit CORCV 8
Limit CORDECOM 3
Limit CORDOOM 14
Limit CORETER 6
Limit CORFAST 0
Limit CORFAV 0
Limit CORFINK 0
Limit CORFLAK 10
Limit CORFMD 0
Limit CORFUS 15
Limit CORGANT 1
Limit CORGATE 0
Limit CORGATOR 0
Limit CORGEO 7
Limit CORGOL 25
Limit CORHLT 15
Limit CORHP 0
Limit CORHRK 20
Limit CORHUNT 0
Limit CORHURC 20
Limit CORINT 0
Limit CORKROG 5
Limit CORLAB 8
Limit CORLEVLR 0
Limit CORLLT 0
Limit CORMABM 0
Limit CORMAKR 14
Limit CORMART 0
Limit CORMEX 25
Limit CORMIST 35
Limit CORMLV 0
Limit CORMMKR 20
Limit CORMOHO 25
Limit CORMORT 30
Limit CORMSTOR 0
Limit CORNECRO 0
Limit CORPLAS 0
Limit CORPUN 4
Limit CORPYRO 0
Limit CORRAD 5
Limit CORRAID 20
Limit CORREAP 0
Limit CORRL 35
Limit CORROACH 0
Limit CORSCORP 5
Limit CORSEAL 0
Limit CORSENT 10
Limit CORSHAD 10
Limit CORSOLAR 30
Limit CORSPEC 5
Limit CORSPY 0
Limit CORSTORM 30
Limit CORSUMO 25
Limit CORTARG 0
Limit CORTHUD 30
Limit CORTITAN 0
Limit CORTOAST 3
Limit CORTRON 0
Limit CORVALK 0
Limit CORVAMP 20
Limit CORVENG 0
Limit CORVIPE 6
Limit CORVOYR 0
Limit CORVP 6
Limit CORVRAD 0
Limit CORVROC 15
Limit CORWIN 20
Limit MTRUCK 0
Limit NukeA 2
Limit NukeC 1

