// Fallout2 AI v1.5

// Easy

plan easy

Weight ARM 0.2
Weight CORE 0.2

// ARM ENTRIES
// WEIGHTS
// Construction Buildings
Weight ARMLAB 6
Weight ARMVP 6
Weight ARMAP 1
Weight ARMHP 6

Weight ARMALAB 3
Weight ARMAVP 3
Weight ARMAAP 8

// Kbots, Level 1
Weight ARMCK 5
Weight ARMJETH 3
Weight ARMPW 2
Weight ARMROCK 3
Weight ARMHAM 3
Weight ARMWAR 1

// Kbots, Level 2
Weight ARMACK 5
Weight ARMAMPH 2
Weight ARMFAST 1
Weight ARMDECOM 1
Weight ARMFIDO 3
Weight ARMMAV 1
Weight ARMSNIPE 0.5
Weight ARMZEUS 1

//  Vehicles, Level 1
Weight ARMCV 5
Weight ARMFAV 8
Weight ARMFLASH 3
Weight ARMSAM 1
Weight ARMSTUMP 1

// Vehicles, Level 2
Weight ARMACV 5
Weight ARMBULL 3
Weight ARMLATNK 4
Weight ARMMANNI 0.5
Weight ARMMERL 2
Weight ARMSPID 0.5
Weight ARMYORK 1

// Aircraft, Level 1
Weight ARMCA 5
Weight ARMFIG 3
Weight ARMPEEP 1
Weight ARMTHUND 1

// Aircraft, Level 2
Weight ARMBRAWL 5
Weight ARMHAWK 5
Weight ARMPNIX 1

// Resource Production and Storage
Weight AAIMEX 1
Weight AAISOLAR 2
Weight AAIMMKR 0.5
Weight ADECOYFU 1
Weight ARMFUS 3
Weight ARMGEO 2
Weight ARMMOHO 2

// Defenses and LRPC
Weight APITBULL 2
Weight ARMAMB 4
Weight ARMANNI 2
Weight ARMBRTHA 1
Weight ARMFLAK 4
Weight ARMGUARD 1
Weight ARMHLT 2
Weight ARMLLT 1
Weight ARMRL 8

// LIMITS
// Construction Buildings
Limit AAILAB 0
Limit ARMLAB 2
Limit AAIVP 0
Limit ARMVP 2
Limit AAIAP 0
Limit ARMAP 1
Limit ARMSY 0
Limit ARMHP 2
Limit ARMPLAT 0

Limit AAIALAB 0
Limit ARMALAB 2
Limit AAIAVP 0
Limit ARMAVP 2
Limit AAIAAP 0
Limit ARMAAP 2
Limit ARMASY 0

// Kbots, Level 1
Limit AAICK 0
Limit ARMCK 2
Limit ARMJETH 10
Limit ARMPW 15
Limit ARMROCK 10
Limit ARMHAM 10
Limit ARMWAR 5

// Kbots, Level 2
Limit AAIACK 0
Limit ARMACK 1
Limit ARMAMPH 5
Limit ARMASER 0
Limit ARMFAST 5
Limit AAIDECOM 0
Limit ARMDECOM 1
Limit ARMFIDO 10
Limit ARMMARK 0
Limit ARMMAV 5
Limit ARMSNIPE 5
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMZEUS 5

//  Vehicles, Level 1
Limit AAICV 0
Limit ARMCV 2
Limit ARMFAV 2
Limit ARMFLASH 20
Limit ARMMLV 0
Limit ARMSAM 10
Limit ARMSTUMP 10

// Vehicles, Level 2
Limit AAIACV 0
Limit ARMACV 1
Limit ARMBULL 15
Limit ARMCROC 0
Limit ARMJAM 0
Limit ARMLATNK 20
Limit ARMMANNI 1
Limit ARMMART 0
Limit ARMMERL 5
Limit ARMSEER 0
Limit ARMSPID 5
Limit ARMYORK 2

// Aircraft, Level 1
Limit AAICA 0
Limit ARMCA 1
Limit ARMATLAS 0
Limit ARMFIG 20
Limit ARMPEEP 5
Limit ARMTHUND 5

// Aircraft, Level 2
Limit ARMACA 0
Limit ARMAWAC 0
Limit ARMBRAWL 15
Limit ARMHAWK 15
Limit ARMLANCE 0
Limit ARMPNIX 5

// Navy, Level 1
Limit ARMCS 0
Limit ARMPT 0
Limit ARMROY 0
Limit ARMSUB 0
Limit ARMTSHIP 0

// Navy, Level 2
Limit ARMACSUB 0
Limit ARMAAS 0
Limit ARMBATS 0
Limit ARMCARRY 0
Limit ARMCRUS 0
Limit ARMMSHIP 0
Limit ARMSCRAM 0
Limit ARMSJAM 0
Limit ARMSUBK 0

// Hovercraft
Limit ARMCH 3
Limit ARMAH 10
Limit ARMANAC 15
Limit ARMMH 8
Limit ARMSH 10
Limit ARMTHOVR 0

// Seaplanes
Limit ARMCSA 0
Limit ARMSEAP 0
Limit ARMSEHAK 0
Limit ARMSFIG 0

// Mines
Limit ARMMINE1 0
Limit ARMMINE2 0
Limit ARMMINE3 0
Limit ARMMINE4 0
Limit ARMMINE5 0
Limit ARMMINE6 0

// Resource Production and Storage
Limit AAIMEX 20
Limit AAIMEXX 0
Limit AAIMMKR 1
Limit AAISOLAR 15
Limit AAISOLRX 0
Limit ADECOYFU 2
Limit ARMCKFUS 0
Limit ARMESTOR 0
Limit ARMFMKR 0
Limit ARMFUS 1
Limit ARMGEO 2
Limit ARMMAKR 0
Limit ARMMEX 0
Limit ARMMMKR 0
Limit ARMMOHO 2
Limit ARMMSTOR 0
Limit ARMSOLAR 0
Limit ARMTIDE 0
Limit ARMUWES 0
Limit ARMUWFUS 0
Limit ARMUWMEX 0
Limit ARMUWMS 0
Limit ARMWIN 0

// Defenses and LRPC
Limit APITBULL 2
Limit ARMAMB 2
Limit ARMAMD 0
Limit ARMANNI 1
Limit ARMATL 0
Limit ARMBRTHA 1
Limit ARMDRAG 0
Limit ARMEMP 0
Limit ARMFDRAG 0
Limit ARMFHLT 0
Limit ARMFLAK 4
Limit ARMFORT 0
Limit ARMFRT 0
Limit ARMGUARD 4
Limit ARMHLT 10
Limit ARMLLT 5
Limit ARMRL 20
Limit AAISILO 0
Limit ARMSILO 0
Limit ARMTL 0
Limit ARMVULC 0
Limit NUKEA 1

// Radar, Sonar, and Miscellaneous Uncategorizable Units
Limit ARMARAD 0
Limit ARMASON 0
Limit ARMASP 0
Limit ARMRAD 0
Limit ARMSONAR 0
Limit ARMTARG 0


// CORE ENTRIES
// WEIGHTS
// Construction Buildings
Weight CORLAB 6
Weight CORVP 6
Weight CORAP 1
Weight CORHP 6

Weight CORALAB 3
Weight CORAVP 3
Weight CORAAP 8

// Kbots, Level 1
Weight CORCK 5
Weight CORAK 1
Weight CORSTORM 3
Weight CORTHUD 2
Weight CORCRASH 4

// Kbots, Level 2
Weight CORACK 5
Weight CORAMPH 0.5
Weight CORCAN 2
Weight CORDECOM 1
Weight CORFAST 2
Weight CORHRK 4
Weight CORMORT 4
Weight CORPYRO 1
Weight CORSUMO 1

// Vehicles, Level 1
Weight CORCV 5
Weight CORFAV 8
Weight CORLEVLR 1
Weight CORMIST 3
Weight CORRAID 7

// Vehicles, Level 2
Weight CORACV 5
Weight CORGOL 5
Weight CORREAP 2
Weight CORVROC 2
Weight CORSENT 1

// Aircraft, Level 1
Weight CORCA 5
Weight CORFINK 1
Weight CORSHAD 1
Weight CORVENG 3

// Aircraft, Level 2
Weight CORAPE 5
Weight CORHURC 1
Weight CORVAMP 5

// Resource Production and Storage
Weight CAIMEX 1
Weight CAIMMKR 0.5
Weight CAISOLAR 2
Weight CORFUS 3
Weight CORGEO 2
Weight CORMOHO 2

// Defenses and LRPC
Weight CORDOOM 2
Weight CORFLAK 4
Weight CORHLT 2
Weight CORINT 1
Weight CORLLT 1
Weight CORPUN 1
Weight CORRL 8
Weight CORTOAST 5
Weight CORVIPE 2

// LIMITS
// Construction Buildings
Limit CAILAB 0
Limit CORLAB 2
Limit CAIVP 0
Limit CORVP 2
Limit CAIAP 0
Limit CORAP 1
Limit CORSY 0
Limit CORHP 2
Limit CORPLAT 0

Limit CAIALAB 0
Limit CORALAB 2
Limit CAIAVP 0
Limit CORAVP 2
Limit CAIAAP 0
Limit CORAAP 2
Limit CORASY 0
Limit CAIGANT 0
Limit CORGANT 0

// Kbots, Level 1
Limit CAICK 0
Limit CORCK 2
Limit CORAK 10
Limit CORSTORM 15
Limit CORTHUD 10
Limit CORCRASH 10

// Kbots, Level 2
Limit CAIACK 0
Limit CORACK 2
Limit CORAMPH 2
Limit CORCAN 10
Limit CORDECOM 1
Limit CAIDECOM 0
Limit CORFAST 5
Limit CORHRK 10
Limit CORMORT 10
Limit CORPYRO 5
Limit CORROACH 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSUMO 5
Limit CORVOYR 0

// Kbots, Level 3
Limit CORKROG 0

// Vehicles, Level 1
Limit CAICV 0
Limit CORCV 2
Limit CORFAV 2
Limit CORGATOR 0
Limit CORLEVLR 5
Limit CORMIST 10
Limit CORMLV 0
Limit CORRAID 15

// Vehicles, Level 2
Limit CAIACV 0
Limit CORACV 2
Limit CORETER 0
Limit CORGOL 15
Limit CORMART 0
Limit CORREAP 10
Limit CORSEAL 0
Limit CORSENT 2
Limit CORVRAD 0
Limit CORVROC 5

// Aircraft, Level 1
Limit CAICA 0
Limit CORCA 1
Limit CORFINK 5
Limit CORSHAD 5
Limit CORVALK 0
Limit CORVENG 15

// Aircraft, Level 2
Limit CORACA 0
Limit CORAPE 15
Limit CORAWAC 0
Limit CORHURC 5
Limit CORTITAN 0
Limit CORVAMP 15

// Navy, Level 1
Limit CORCS 0
Limit CORPT 0
Limit CORROY 0
Limit CORSUB 0
Limit CORTSHIP 0

// Navy, Level 2
Limit CORACSUB 0
Limit CORARCH 0
Limit CORBATS 0
Limit CORCARRY 0
Limit CORCRUS 0
Limit CORMSHIP 0
Limit CORSHARK 0
Limit CORSJAM 0
Limit CORSSUB 0

// Hovercraft
Limit CORAH 0
Limit CORCH 3
Limit CORMH 20
Limit CORSH 0
Limit CORSNAP 15
Limit CORTHOVR 0

// Seaplanes
Limit CORCSA 0
Limit CORHUNT 0
Limit CORSEAP 0
Limit CORSFIG 0

// Mines
Limit CORMINE1 0
Limit CORMINE2 0
Limit CORMINE3 0
Limit CORMINE4 0
Limit CORMINE5 0
Limit CORMINE6 0

// Resource Production and Storage
Limit CAIMEX 20
Limit CAIMEXX 0
Limit CAIMMKR 1
Limit CAISOLAR 10
Limit CAISOLRX 0
Limit CORCKFUS 0
Limit CORESTOR 0
Limit CORFMKR 0
Limit CORFUS 1
Limit CORGEO 2
Limit CORMAKR 0
Limit CORMEX 0
Limit CORMMKR 0
Limit CORMOHO 2
Limit CORMSTOR 0
Limit CORSOLAR 0
Limit CORTIDE 0
Limit CORUWES 0
Limit CORUWFUS 0
Limit CORUWMEX 0
Limit CORUWMS 0
Limit CORWIN 0

// Defenses and LRPC
Limit CORATL 0
Limit CORBUZZ 0
Limit CORDOOM 1
Limit CORDRAG 0
Limit CORFDRAG 0
Limit CORFHLT 0
Limit CORFLAK 4
Limit CORFMD 0
Limit CORFORT 0
Limit CORFRT 0
Limit CORHLT 5
Limit CORINT 1
Limit CORLLT 5
Limit CORPUN 4
Limit CORRL 20
Limit CAISILO 0
Limit CORSILO 0
Limit CORTL 0
Limit CORTOAST 2
Limit CORTRON 0
Limit CORVIPE 5
Limit NUKEC 1

// Radar, Sonar, and Miscellaneous Uncategorizable Units
Limit CORARAD 0
Limit CORASON 0
Limit CORASP 0
Limit CORRAD 0
Limit CORSONAR 0
Limit CORTARG 0


//------------------------ medium

plan medium

// Weights resource production.
Weight ARMGEO 0
Weight ARMFUS 1
Weight ARMAP 9
Weight ARMCA 3
Weight ARMACA 3
Weight ARMCH 3
Weight ARMMEX 4
Weight ARMHP 5
Weight ARMAAP 9
Weight ARMSOLAR 1.2
Weight ARMFLAK 1.2
Weight ARMRL 1.2
Weight ARMBRTHA 0.7
Weight ARMGUARD 0.05
Weight ARMFIG 0.05

Weight CORGEO 0
Weight CORFUS 1
Weight CORAP 9
Weight CORCA 3
Weight CORACA 3
Weight CORCH 3
Weight CORTIDE 0
Weight CORFRL 1
Weight CORMEX 3
Weight CORAAP 3
Weight CORHP 5
Weight CORPLAT 5
Weight CORACSUB 3
Weight CORCS 3
Weight CORSY 3
Weight CORASY 3
Weight CORUWMEX 0
Weight CORMOHO 0
Weight CORSOLAR 0.5
Weight CORFLAK 1.2
Weight CORINT 0.9
Weight CORRL 0.9
Weight CORUWMS 0
Weight CORUWFUS 0
Weight CORBUZZ 0.1
Weight CORUWES 0
Weight CORPUN 0.05
Weight CORVENG 0.05

// Weights ships, aircraft, hovercraft, and Kbots.
Weight ARMPT 9
Weight ARMCRUS 3
Weight ARMAAS 1.5
Weight ARMCARRY 1.1
Weight ARMSS 0.6
Weight ARMROY 0.3
Weight ARMBATS 0.3
Weight ARMMSHIP 0.15
Weight ARMSUB 0.1

Weight ARMHAWK 4
Weight ARMBRAWL 3
Weight ARMSEAP 3
Weight ARMSFIG 0.7

Weight ARMAH 3
Weight ARMANAC 0.6
Weight ARMMH 0.6

Weight ARMAMPH 9
Weight ARMDECOM 0
Weight ARMJETH 1.1

Weight CORPT 9
Weight CORCRUS 2
Weight CORARCH 1.2
Weight CORCARRY 0
Weight CORBATS 0.9
Weight CORROY 0.3
Weight CORMSHIP 0.3
Weight CORSSUB 0.2
Weight CORSUB 0.1

Weight CORAPE 3
Weight CORVAMP 4
Weight CORSEAP 3
Weight CORSFIG 0.9

Weight CORAH 3
Weight CORMH 0.6
Weight CORSNAP 0.6

// AI Units!

Limit AAICH 3
Limit AAIHP 2
Limit AAILANCE 8
Limit AAISH 5
Limit CAICH 3
Limit CAIHP 2
Limit CAISH 5
Limit CAITITAN 8

Weight nukeA 2
Weight AAIFUS 9
Weight AAIMEX 4
Weight AAIMEXX 4
Weight AAISOLRX 2
Weight AAISOLAR 1.2
Weight AAIMMKR 2
Weight AAITIDE 2
Weight AAIEMP 1
Weight AAISILO 3
Weight AAILAB 9
Weight AAIVP 9
Weight AAIAP 9
Weight AAISY 9
Weight AAIALAB 9
Weight AAIAAP 9
Weight AAIAVP 9
Weight AAIASY 9
Weight AAICV 9
Weight AAICK 9
Weight AAICA 9
Weight AAICS 9
Weight AAIACA 9
Weight AAIACV 9
Weight AAIACK 9
Weight AAIBRAWL 4
Weight AAIPNIX1 2
