// Date: 03-24-2001
// Auth: GeistHund222
// Name: Firestorm AI
// Used: Small AI Designer Build 1.1.3

/ Build Priorities  /
/ Workers /

Weight Armack 1.35
Weight Armacv 1.85
Weight Coraca 1.2
Weight Armaca 1.2
Weight Armcv 1.5
Weight Corcs 0
Weight Corca 2
Weight Corack 1.35
Weight Coracv 1.85
Weight Corck 1.45
Weight Armch 0
Weight Armmlv 0
Weight Corch 0
Weight Cormlv 0
Weight Szarmacv 1.85
Weight Szarmcv 1.5
Weight Szcorck 1.5
Weight Szcoracv 1.85
Weight Szcoraca 1.2
Weight Szarmaca 1.2
Weight Szarmack 1.35
Weight Szcorack 1.35
Weight Szcorca 2
Weight Szcorcs 0

/ Commanders /

Weight Armcom 0
Weight Corcom 0
Weight Armdecom 0.2
Weight Cordecom 0.2

/ Aircraft /

Weight Armbrawl 2.95
Weight Armca 2
Weight Armfig 2.8
Weight Armatlas 0
Weight Armhawk 2.5
Weight Armlance 0
Weight Cortitan 0
Weight Armpeep 0
Weight Armpnix 2.65
Weight Corvalk 0
Weight Armthund 2.8
Weight Corshad 2.8
Weight Corfink 0
Weight Corvamp 2.5
Weight Corveng 2.8
Weight Corape 3
Weight Corhurc 2.65
Weight Armseap 0
Weight Armcsa 0
Weight Armsfig 0
Weight Armsehak 0
Weight Armawac 0
Weight Corseap 0
Weight Corcsa 0
Weight Corsfig 0
Weight Corhunt 0
Weight Corawac 0
Weight Szarmca 2
Weight Armsl 0

/ Tanks /

Weight Armcroc 0
Weight Armfav 0
Weight Armflash 2
Weight Armjam 0
Weight Armmart 1.2
Weight Armmerl 1.3
Weight Cormart 0
Weight Cormist 1.7
Weight Cortruck 0
Weight Correap 1.4
Weight Corvrad 0
Weight Corvroc 0.5
Weight Armstump 1.2
Weight Corcv 0.5
Weight Corseal 0
Weight Corraid 1.6
Weight Corgator 1.6
Weight Corgol 0.5
Weight Coreter 0
Weight Armsam 1.3
Weight Armseer 0
Weight Corfav 0
Weight Armspid 0
Weight Armbull 1.25
Weight Armmh 0
Weight Armmanni 0.01
Weight Armsh 0
Weight Armah 0
Weight Armanac 0
Weight Armthovr 0
Weight Armlatnk 1.5
Weight Cormh 0
Weight Corsh 10
Weight Corah 0
Weight Corthovr 0
Weight Corsnap 0
Weight Corlevlr 1.6
Weight Corsent 1.3
Weight Armyork 1.3
Weight Szcorcv 0.5
Weight Szarmaser 0.03
Weight Szcoreter 0
Weight Szcorspec 0.03
Weight Szarmjam 0
Weight Armscab 0
Weight Cormabm 0
Weight Tpbeacon 0
Weight Corsting 0

/ Kbots /

Weight Armaser 0
Weight Armfast 1.5
Weight Armfido 1.3
Weight Armvader 0
Weight Corak 1.5
Weight Armham 1.25
Weight Armjeth 0
Weight Armck 0.45
Weight Corthud 1.8
Weight Corstorm 1.5
Weight Corroach 0
Weight Corcan 1.15
Weight Corpyro 1.25
Weight Armrock 1.25
Weight Armzeus 0
Weight Corspec 0
Weight Corcrash 1.5
Weight Armpw 1.35
Weight Armamph 0
Weight Armmav 1.15
Weight Armwar 1.35
Weight Armspy 0
Weight Armmark 0
Weight Coramph 0
Weight Corhrk 1.7
Weight Corkrog 0.02
Weight Corfast 0
Weight Corsumo 1.1
Weight Cormort 1.8
Weight Corvoyr 0
Weight Corspy 0
Weight Armsnipe 0.01
Weight Szarmck 0.5
Weight Armfark 1.2
Weight Armflea 0
Weight Cornecro 0
Weight Dave 0
Weight Shoryu 0

/ Ships, Sub, And Water-units /

Weight Armtl 0
Weight Armcarry 0
Weight Armcrus 0
Weight Armcs 0
Weight Armtship 0
Weight Corcrus 0
Weight Armsubk 0
Weight Corsonar 0
Weight Cormship 0
Weight Cortl 0
Weight Cortide 0
Weight Corbats 0
Weight Armtide 0
Weight Corsub 0
Weight Armmship 0
Weight Cortship 0
Weight Corroy 0
Weight Armpt 0
Weight Armsub 0
Weight Corshark 0
Weight Corpt 0
Weight Armroy 0
Weight Armbats 0
Weight Corcarry 0
Weight Armsonar 0
Weight Armaas 0
Weight Armacsub 0
Weight Armsjam 0
Weight Armscram 0
Weight Armfhlt 0
Weight Armatl 0
Weight Armfrt 0
Weight Armason 0
Weight Corarch 0
Weight Coracsub 0
Weight Corsjam 0
Weight Corfhlt 0
Weight Coratl 0
Weight Corfrt 0
Weight Corason 0
Weight Corssub 0
Weight Szarmcs 0
Weight Sealockew 0
Weight Sealockns 0

/ Defense /

Weight Armamd 0
Weight Armanni 0.05
Weight Armdrag 0
Weight Armbrtha 0.15
Weight Armguard 0.02
Weight Armhlt 0.25
Weight Armllt 0
Weight Corrl 0.9
Weight Cordoom 0.01
Weight Cordrag 0
Weight Corpun 0.02
Weight Armrl 0.9
Weight Corllt 0
Weight Corhlt 0.25
Weight Corint 0.15
Weight Armarch 0
Weight Armflak 0.2
Weight Armamb 0.25
Weight Armvulc 0.01
Weight Armfdrag 0
Weight Armfort 0
Weight Corvipe 0.01
Weight Corflak 0.2
Weight Corbuzz 0.01
Weight Cortoast 0.25
Weight Corfdrag 0
Weight Corfort 0
Weight Corplas 0.8
Weight Zzz 0
Weight Armfortew 0
Weight Armfortns 0
Weight Armbfortns 0
Weight Corefortew 0
Weight Corefortns 0
Weight Corebfortew 0
Weight Corebfortns 0
Weight Armbfortew 0

/ Resources /

Weight Armestor 8
Weight Armfus 10
Weight Armgeo 0
Weight Armmakr 0
Weight Armmex 0.5
Weight Armmoho 0.01
Weight Corsolar 0.5
Weight Cormex 0.5
Weight Cormoho 0.01
Weight Armmstor 0
Weight Corwin 2
Weight Corfus 10
Weight Corgeo 0
Weight Corestor 8
Weight Cormstor 0
Weight Cormakr 0
Weight Armwin 2
Weight Armsolar 0.5
Weight Armuwmex 0
Weight Armmmkr 0.1
Weight Armuwfus 0
Weight Armfmkr 0
Weight Armuwes 0
Weight Armckfus 0
Weight Armuwms 0
Weight Coruwmex 0
Weight Cormmkr 0.1
Weight Corfmkr 0
Weight Corckfus 0
Weight Coruwfus 0
Weight Coruwes 0
Weight Coruwms 0
Weight Aaisolrx 1.5
Weight Aaickfus 9
