// David's Land Sea Battle ai v9.0 
// Weights resource production.
Weight ARMGEO 9
Weight ARMFUS 9
Weight ARMTIDE 9
Weight ARMCA 9
Weight ARMACA 9
Weight ARMCH 9
Weight ARMAP 9
Weight ARMACK 9
Weight ARMCK 9
Weight ARMFRL 5
Weight ARMMEX 4
Weight ARMPLAT 3
Weight ARMHP 3
Weight ARMCS 3
Weight ARMSY 2
Weight ARMAAP 2
Weight ARMSOLAR 1.2
Weight ARMFLAK 1.2
Weight ARMRL 1.2
Weight ARMACSUB 0.9
Weight ARMASY 0.9
Weight ARMBRTHA 0.7
Weight ARMMMKR 0.4
Weight ARMALAB 0.3
Weight ARMFMKR 0.3
Weight ARMLAB 0.15
Weight ARMUWES 0.1
Weight ARMUWFUS 0.1
Weight ARMATL 0.1
Weight ARMGUARD 0.05
Weight ARMVULC 0.05
Weight ARMFIG 0.05
Weight CORGEO 9
Weight CORFUS 9
Weight CORTIDE 9
Weight CORFRL 4
Weight CORSY 3
Weight CORMEX 3
Weight CORAP 3
Weight CORAAP 3
Weight CORHP 3
Weight CORPLAT 3
Weight CORASY 2
Weight CORSOLAR 1.5
Weight CORFLAK 1.2
Weight CORINT 0.9
Weight CORRL 0.9
Weight CORMMKR 0.4
Weight CORFMKR 0.3
Weight CORUWFUS 0.1
Weight CORBUZZ 0.1
Weight CORUWES 0.05
Weight CORPUN 0.05
Weight CORCA 9
Weight CORACA 9
Weight CORCH 9
Weight CORACSUB 3
Weight CORCS 2
Weight CORVENG 0.05

// Weights ships, aircraft, hovercraft, and Kbots.
Weight ARMPT 9
Weight ARMCRUS 3
Weight ARMAAS 1.5
Weight ARMCARRY 1.1
Weight ARMSS 0.6
Weight ARMROY 0.3
Weight ARMBATS 0.3
Weight ARMMSHIP 0.15
Weight ARMSUB 0.1
Weight ARMHAWK 4
Weight ARMBRAWL 2
Weight ARMSEAP 2
Weight ARMSFIG 0.7
Weight ARMAH 3
Weight ARMANAC 0.6
Weight ARMMH 0.6
Weight ARMAMPH 9
Weight ARMDECOM 0.1
Weight ARMJETH 1.1
Weight CORPT 9
Weight CORCRUS 2
Weight CORARCH 1.2
Weight CORCARRY 1.2
Weight CORBATS 0.9
Weight CORROY 0.3
Weight CORMSHIP 0.3
Weight CORSSUB 0.2
Weight CORSUB 0.1
Weight CORAPE 3
Weight CORVAMP 2
Weight CORSEAP 1.5
Weight CORSFIG 0.9
Weight CORAH 3
Weight CORMH 0.6
Weight CORSNAP 0.6

// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings
Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMBRAWL 20
Limit ARMFIG 14
Limit ARMHAWK 40
Limit ARMLANCE 0
Limit ARMPEEP 0
Limit ARMPNIX 0
Limit ARMTHUND 0
Limit ARMAH 16
Limit ARMANAC 6
Limit ARMMH 8
Limit ARMSH 0
Limit ARMTHOVR 0
Limit ARMAMPH 40
Limit ARMASER 0
Limit ARMDECOM 2
Limit ARMFAST 0
Limit ARMFIDO 0
Limit ARMFLEA 0
Limit ARMHAM 0
Limit ARMJETH 8
Limit ARMMARK 0
Limit ARMMAV 0
Limit ARMPW 0
Limit ARMRECTR 0
Limit ARMROCK 0
Limit ARMSCORP 0
Limit ARMSEER 0
Limit ARMSNIPE 0
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMWAR 0
Limit ARMZEUS 0
Limit ARMAAS 8
Limit ARMBATS 2
Limit ARMCARRY 8
Limit ARMCRUS 14
Limit ARMMSHIP 2
Limit ARMPT 24
Limit ARMROY 10
Limit ARMSCRAM 0
Limit ARMSJAM 0
Limit ARMSS 2
Limit ARMSUB 8
Limit ARMSUBK 0
Limit ARMTSHIP 0
Limit ARMSEAP 16
Limit ARMSEHAK 0
Limit ARMSFIG 12
Limit ARMBULL 0
Limit ARMCROC 0
Limit ARMFAV 0
Limit ARMFLASH 0
Limit ARMJAM 0
Limit ARMLATNK 0
Limit ARMMANNI 0
Limit ARMMART 0
Limit ARMMERL 0
Limit ARMMLV 0
Limit ARMSAM 0
Limit ARMSCAB 0
Limit ARMSPID 0
Limit ARMSTUMP 0
Limit ARMYORK 0
Limit ARMAMB 0
Limit ARMAMD 0
Limit ARMANNI 0
Limit ARMARAD 0
Limit ARMASP 0
Limit ARMBEAC 0
Limit ARMBRTHA 3
Limit ARMCKFUS 0
Limit ARMDEV1 0
Limit ARMDRAG 0
Limit ARMEMP 0
Limit ARMESTOR 0
Limit ARMFLAK 12
Limit ARMFORT 0
Limit ARMFUS 2
Limit ARMGATE 0
Limit ARMGEO 7
Limit ARMGUARD 4
Limit ARMHLT 0
Limit ARMLLT 0
Limit ARMMAKR 0
Limit ARMMEX 30
Limit ARMMMKR 3
Limit ARMMOHO 0
Limit ARMMSTOR 0
Limit ARMRAD 0
Limit ARMSILO 0
Limit ARMRL 10
Limit ARMSOLAR 10
Limit ARMTARG 0
Limit ARMVULC 1
Limit ARMWIN 0
Limit ARMASON 0
Limit ARMATL 2
Limit ARMFDRAG 0
Limit ARMFHLT 0
Limit ARMFMKR 10
Limit ARMFRT 24
Limit ARMSONAR 0
Limit ARMTIDE 30
Limit ARMTL 0
Limit ARMUWES 1
Limit ARMUWFUS 1
Limit ARMUWMEX 0
Limit ARMUWMS 0

//CORE

// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings
Limit CORAPE 24
Limit CORAWAC 0
Limit CORBVALK 0
Limit CORFINK 0
Limit CORHURC 0
Limit CORSHAD 0
Limit CORTITAN 0
Limit CORVALK 0
Limit CORVAMP 30
Limit CORVENG 16
Limit CORAH 16
Limit CORMH 8
Limit CORSH 0
Limit CORSNAP 6
Limit CORTHOVR 0
Limit CORAMPH 0
Limit CORAK 0
Limit CORCAN 0
Limit CORCRASH 0
Limit CORDECOM 0
Limit CORFAST 0
Limit CORKROG 0
Limit CORHRK 0
Limit CORMORT 0
Limit CORNECRO 0
Limit CORPYRO 0
Limit CORROACH 0
Limit CORSCORP 0
Limit CORSNIPE 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSTORM 0
Limit CORSUMO 0
