// Bardi´s Ai v 1.6i2
// Made for the map "Insurrección v2"
// Weights resource production.
Weight ARMGEO 9
Weight ARMFUS 9
Weight ARMTIDE 0
Weight ARMCA 9
Weight ARMACA 9
Weight ARMCH 0
Weight ARMAP 9
Weight ARMACK 9
Weight ARMCK 9
Weight ARMFRL 0
Weight ARMMEX 4
Weight ARMPLAT 0
Weight ARMHP 0
Weight ARMCS 0
Weight ARMSY 0
Weight ARMAAP 2
Weight ARMSOLAR 0
Weight ARMFLAK 1.2
Weight ARMRL 1.2
Weight ARMACSUB 0
Weight ARMASY 1.9
Weight ARMBRTHA 0.7
Weight ARMMMKR 0.4
Weight ARMALAB 1.3
Weight ARMFMKR 0
Weight ARMLAB 1.15
Weight ARMVP 0.4
Weight ARMUWES 0
Weight ARMUWFUS 0
Weight ARMATL 0.1
Weight ARMGUARD 0.55
Weight ARMVULC 0.05
Weight ARMFIG 1.05

Weight CORGEO 9
Weight CORFUS 9
Weight CORTIDE 0
Weight CORFRL 0
Weight CORSY 0
Weight CORMEX 3
Weight CORAP 3
Weight CORAAP 3
Weight CORVP 0.5
Weight CORHP 0
Weight CORPLAT 0
Weight CORASY 0
Weight CORSOLAR 0
Weight CORFLAK 1.2
Weight CORINT 0.9
Weight CORRL 1.9
Weight CORMMKR 0.4
Weight CORFMKR 0.3
Weight CORLAB 1.2
Weight CORALAB 1.0
Weight CORUWFUS 0
Weight CORBUZZ 0.1
Weight CORUWES 0
Weight CORPUN 0.55
Weight CORCA 9
Weight CORACA 9
Weight CORCH 0
Weight CORACSUB 0
Weight CORCS 0
Weight CORVENG 0.05

// Weights aircraft

Weight ARMHAWK 4
Weight ARMBRAWL 2
Weight ARMSEAP 2
Weight ARMSFIG 0.7

Weight CORAPE 4
Weight CORVAMP 2
Weight CORSFIG 0.9

// ARM
// Limits: Aircraft, K-bots, Vehicles, Buildings

Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMBRAWL 10
Limit ARMFIG 14
Limit ARMHAWK 40
Limit ARMLANCE 0
Limit ARMPEEP 30
Limit ARMPNIX 10
Limit ARMTHUND 10

Limit ARMAMPH 40
Limit ARMASER 0
Limit ARMDECOM 2
Limit ARMFAST 3
Limit ARMFIDO 8
Limit ARMFLEA 50
Limit ARMHAM 5
Limit ARMJETH 8
Limit ARMMARK 5
Limit ARMMAV 0
Limit ARMPW 5
Limit ARMRECTR 0
Limit ARMROCK 8
Limit ARMSCORP 5
Limit ARMSEER 0
Limit ARMSNIPE 1
Limit ARMSPY 1
Limit ARMVADER 10
Limit ARMWAR 10
Limit ARMZEUS 5

Limit ARMBULL 13
Limit ARMCROC 8
Limit ARMFAV 1
Limit ARMFLASH 10
Limit ARMJAM 3
Limit ARMLATNK 1
Limit ARMMANNI 1
Limit ARMMART 15
Limit ARMMERL 5
Limit ARMMLV 2
Limit ARMSAM 2
Limit ARMSCAB 2
Limit ARMSPID 4
Limit ARMSTUMP 3
Limit ARMYORK 3

Limit ARMAMB 0
Limit ARMAMD 1
Limit ARMANNI 1
Limit ARMARAD 2
Limit ARMASP 2
Limit ARMBEAC 0
Limit ARMBRTHA 3
Limit ARMCKFUS 1
Limit ARMDEV1 0
Limit ARMDRAG 0
Limit ARMEMP 1
Limit ARMESTOR 0
Limit ARMFLAK 12
Limit ARMFORT 0
Limit ARMFUS 2
Limit ARMGEO 7
Limit ARMGUARD 6
Limit ARMHLT 5
Limit ARMLLT 0
Limit ARMMAKR 0
Limit ARMMEX 30
Limit ARMMMKR 3
Limit ARMMOHO 5
Limit ARMMSTOR 0
Limit ARMRAD 2
Limit ARMSILO 1
Limit ARMRL 20
Limit ARMSOLAR 0
Limit ARMTARG 0
Limit ARMVULC 1
Limit ARMWIN 10

//CORE
// Limits: Aircraft, K-bots, Vehicles, Buildings

Limit CORAPE 14
Limit CORAWAC 0
Limit CORBVALK 0
Limit CORFINK 40
Limit CORHURC 0
Limit CORSHAD 20
Limit CORTITAN 10
Limit CORVALK 0
Limit CORVAMP 40
Limit CORVENG 16

Limit CORAMPH 3
Limit CORAK 5
Limit CORCAN 10
Limit CORCRASH 18
Limit CORDECOM 4
Limit CORFAST 7
Limit CORKROG 1
Limit CORHRK  4
Limit CORMORT 5
Limit CORNECRO 1
Limit CORPYRO 8
Limit CORROACH 10
Limit CORSCORP 2
Limit CORSNIPE 3
Limit CORSPEC 6
Limit CORSPY 2
Limit CORSTORM 5
Limit CORSUMO 4
Limit CORTHUD 3
Limit CORVOYR 3

Limit CORETER 3
Limit CORFAV 3
Limit CORFING 3
Limit CORGATOR 10
Limit CORGOL 13
Limit CORLEVLR 3
Limit CORMART 15
Limit CORMIST 2
Limit CORMLV 2
Limit CORRAID 2
Limit CORREAP 5
Limit CORSEAL 5
Limit CORSENT 5
Limit CORVRAD 3
Limit CORVROC 8

Limit CORARAD 1
Limit CORASP 2
Limit CORBEAC 1
Limit CORBUZZ 1
Limit CORCKFUS 1
Limit CORDEV1 0
Limit CORDOOM 2
Limit CORDRAG 0
Limit CORESTOR 0
Limit CORFDRAG 5
Limit CORFMD 2
Limit CORFLAK 10
Limit CORFORT 0
Limit CORFUS 2
Limit CORGEO 7
Limit CORHLT 5
Limit CORINT 4
Limit CORLLT 2
Limit CORMAKR 0
Limit CORMEX 30
Limit CORMMKR 4
Limit CORMOHO 3
Limit CORMSTOR 0
Limit CORPUN 6
Limit CORRAD 2
Limit CORRL 20
Limit CORSILO 1
Limit CORSOLAR 0
Limit CORTARG 0
Limit CORTOAST 1
Limit CORTRON 2
Limit CORVIPE 1
Limit CORWIN 10

plan easy

// Limits factories and c-units for Easy diff.
Limit ARMAAP 1
Limit ARMALAB 1
Limit ARMAVP 1
Limit ARMAP 1
Limit ARMLAB 1
Limit ARMVP 2

Limit ARMACA 1
Limit ARMACK 1
Limit ARMACV 1
Limit ARMCA 1
Limit ARMCK 1
Limit ARMCV 2

Limit CORAAP 1
Limit CORALAB 1
Limit CORAVP 1
Limit CORAP 1
Limit CORGANT 0
Limit CORLAB 1
Limit CORVP 2

Limit CORACA 1
Limit CORACK 1
Limit CORACV 1
Limit CORCA 1
Limit CORCK 1
Limit level2 15
