// Bardi´s Ai v 1 Lava Congelada project
// Weights resource production.

Weight ARMGEO 1
Weight ARMFUS 3
Weight ARMCA 4
Weight ARMACA 3
Weight ARMAP 9
Weight ARMACK 3
Weight ARMCK 7
Weight ARMMEX 5
Weight ARMSOlar 8
Weight ARMRL 4.2
Weight ARMBRTHA 0.7
Weight ARMMMKR 2
Weight ARMALAB 1.3
Weight ARMLAB 1.7
Weight ARMVP 4
Weight ARMFIG 1.05
Weight ARMMOHO 1.3

Weight CORGEO 1
Weight Corfus 3
Weight CORMEX 5
Weight CORAP 6
Weight CORAAP 3
Weight CORVP 5
Weight CORSOLAR 5
Weight CORFLAK 1.2
Weight CORINT 0.9
Weight CORRL 4.4
Weight Cormmkr 2
Weight CORLAB 3.2
Weight CORALAB 1.0
Weight CORPUN 0.55
Weight CORCA 7
Weight CORACA 4
Weight CORCV 5.0
Weight CORCK 4.2
Weight CORACK 2.7
Weight CORACV 1.8
Weight CORMOHO 1.7

// Weights Kbots,vehicules and aircraft.

Weight ARMHAWK 4
Weight ARMBRAWL 5

Weight CORAPE 5
Weight CORVAMP 2

Weight ARMSAM 8.5
Weight ARMLATNK 0
Weight ARMFIDO 3
Weight ARMMART 3
Weight ARMHAM 2.7
Weight ARMMERL 3.5
Weight ARMYORK 0.8
Weight ARMDECOM 0
Weight ARMSCAB 0.8
Weight ARMASER 0
Weight ARMROCK 9.0
Weight ARMJETH 8
Weight Armfark 2

Weight CORSTORM 7
Weight CORMORT 1
Weight CORMIST 9.5
Weight CORHRK  3.7
Weight CORSUMO 0
Weight CORTHUD 2.3
Weight CORCRASH 5.2
Weight CORDECOM 0
Weight CORMAMB 0.8
Weight Corvroc 5

// ARM
// Limits: Aircraft, K-bots, Ships, Vehicles, Buildings

Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMBRAWL 20
Limit ARMFIG 14
Limit ARMHAWK 18
Limit ARMPEEP 10
Limit ARMPNIX 2
Limit ARMTHUND 5

Limit ARMASER 0
Limit ARMDECOM 0
Limit ARMFAST 5
Limit ARMFIDO 5
Limit ARMFLEA 10
Limit ARMHAM 3
Limit ARMJETH 10
Limit ARMMARK 2
Limit ARMMAV 0
Limit ARMPW 5
Limit ARMRECTR 10
Limit ARMROCK 10
Limit ARMSCORP 2
Limit ARMSEER 3
Limit ARMSNIPE 1
Limit ARMSPY 1
Limit ARMVADER 3
Limit ARMWAR 4
Limit ARMZEUS 14
Limit Armfark 5

Limit ARMBULL 3
Limit ARMCROC 0
Limit ARMFAV 0
Limit ARMFLASH 16
Limit ARMJAM 0
Limit ARMLATNK 5
