// Date: 02-26-2001
// Auth: GeistHund222
// Name: moira AI
// Used: Small AI Designer Build 1.1.3

/ Build Priorities  /
/ Workers /

Weight Armack 5
Weight Armacv 3
Weight Coraca 5
Weight Armaca 5
Weight Armcv 3
Weight Corcs 10
Weight Corca 9
Weight Corack 5
Weight Coracv 3
Weight Corck 5
Weight Armch 5
Weight Armmlv 0
Weight Corch 5
Weight Cormlv 0
Weight Szarmacv 3
Weight Szarmcv 3
Weight Szcorck 5
Weight Szcoracv 3
Weight Szcoraca 5
Weight Szarmaca 5
Weight Szarmack 5
Weight Szcorack 5
Weight Szcorca 9
Weight Szcorcs 5

/ Commanders /

Weight Armcom 0
Weight Corcom 0
Weight Armdecom 1
Weight Cordecom 1

/ Aircraft /

Weight Armbrawl 1
Weight Armca 9
Weight Armfig 0.5
Weight Armatlas 0
Weight Armhawk 2
Weight Armlance 1
Weight Cortitan 1
Weight Armpeep 0
Weight Armpnix 2
Weight Corvalk 0
Weight Armthund 0.5
Weight Corshad 0.5
Weight Corfink 0
Weight Corvamp 2
Weight Corveng 0.5
Weight Corape 3
Weight Corhurc 1
Weight Armseap 1
Weight Armcsa 0.25
Weight Armsfig 0.25
Weight Armsehak 0
Weight Armawac 0
Weight Corseap 1
Weight Corcsa 0.25
Weight Corsfig 0.25
Weight Corhunt 0
Weight Corawac 0
Weight Szarmca 9
Weight Armsl 0

/ Tanks /

Weight Armcroc 0.1
Weight Armfav 0
Weight Armflash 0
Weight Armjam 0
Weight Armmart 0
Weight Armmerl 0
Weight Cormart 0
Weight Cormist 0
Weight Cortruck 0
Weight Correap 0
Weight Corvrad 0
Weight Corvroc 0
Weight Armstump 0
Weight Corcv 3
Weight Corseal 0.1
Weight Corraid 0
Weight Corgator 0
Weight Corgol 0
Weight Coreter 0
Weight Armsam 0
Weight Armseer 0
Weight Corfav 0
Weight Armspid 0
Weight Armbull 0
Weight Armmh 4
Weight Armmanni 0
Weight Armsh 0
Weight Armah 1
Weight Armanac 5
Weight Armthovr 0
Weight Armlatnk 0
Weight Cormh 4
Weight Corsh 5
Weight Corah 1
Weight Corthovr 0
Weight Corsnap 5
Weight Corlevlr 0
Weight Corsent 1
Weight Armyork 1
Weight Szcorcv 3
Weight Szarmaser 0
Weight Szcoreter 2
Weight Szcorspec 0
Weight Szarmjam 2
Weight Aaijam 0
Weight Caieter 0
Weight Armscab 0
Weight Tpbeacon 0
Weight Corsting 0
Weight Cormabm 0

/ Kbots /

Weight Armaser 0
Weight Armfast 0
Weight Armfido 0
Weight Armvader 0
Weight Corak 0
Weight Armham 0
Weight Armjeth 0.25
Weight Armck 5
Weight Corthud 0
Weight Corstorm 0
Weight Corroach 0
Weight Corcan 0
Weight Corpyro 0
Weight Armrock 0
Weight Armzeus 0
Weight Corspec 0
Weight Corcrash 0.25
Weight Armpw 0
Weight Armamph 5
Weight Armmav 0.25
Weight Armwar 0
Weight Armspy 0
Weight Armmark 0
Weight Coramph 5
Weight Corhrk 0
Weight Corkrog 0
Weight Corfast 0
Weight Corsumo 0
Weight Cormort 0
Weight Corvoyr 0
Weight Corspy 0
Weight Armsnipe 0
Weight Szarmck 5
Weight Armfark 5
Weight Dave 0
Weight Cornecro 0.1
Weight Armflea 0
Weight Shoryu 0

/ Ships, Sub, And Water-units /

Weight Armtl 0.25
Weight Armcarry 5
Weight Armcrus 0.25
Weight Armcs 10
Weight Armtship 0
Weight Corcrus 0.25
Weight Armsubk 0.3
Weight Corsonar 0
Weight Cormship 0.25
Weight Cortl 0.25
Weight Cortide 5
Weight Corbats 0.2
Weight Armtide 5
Weight Corsub 3
Weight Armmship 0.25
Weight Cortship 0
Weight Corroy 1
Weight Armpt 3
Weight Armsub 3
Weight Corshark 0
Weight Corpt 3
Weight Armroy 1
Weight Armbats 0.2
Weight Corcarry 5
Weight Armsonar 0
Weight Armaas 1
Weight Armacsub 0.25
Weight Armsjam 0.25
Weight Armscram 1
Weight Armfhlt 3
Weight Armatl 0
Weight Armfrt 5
Weight Armason 0
Weight Corarch 1
Weight Coracsub 0.25
Weight Corsjam 0.25
Weight Corfhlt 3
Weight Coratl 0
Weight Corfrt 5
Weight Corason 0
Weight Corssub 1
Weight Szarmcs 5
Weight Sealockew 0
Weight Sealockns 0

/ Defense /

Weight Armamd 0
Weight Armanni 0
Weight Armdrag 0
Weight Armbrtha 0
Weight Armguard 0.2
Weight Armhlt 0.25
Weight Armllt 0
Weight Corrl 4
Weight Cordoom 0.01
Weight Cordrag 0
Weight Corpun 0.2
Weight Armrl 4
Weight Corllt 0
Weight Corhlt 0.25
Weight Corint 0.1
Weight Armarch 0
Weight Armflak 2
Weight Armamb 0
Weight Armvulc 0
Weight Armfdrag 0
Weight Armfort 0
Weight Corvipe 0
Weight Corflak 2
Weight Corbuzz 0.01
Weight Cortoast 0
Weight Corfdrag 0
Weight Corfort 0
Weight Zzz 0
Weight Corplas 0
Weight Armfortew 0
Weight Armfortns 0
Weight Armbfortns 0
Weight Corefortew 0
Weight Corefortns 0
Weight Corebfortew 0
Weight Corebfortns 0
Weight Armbfortew 0

/ Resources /

Weight Armestor 5
Weight Armfus 0
Weight Armgeo 2
Weight Armmakr 0.1
Weight Armmex 0.5
Weight Armmoho 0.2
Weight Corsolar 8
Weight Cormex 0.5
Weight Cormoho 0.2
Weight Armmstor 4
Weight Corwin 1
Weight Corfus 0
Weight Corgeo 2
Weight Corestor 5
Weight Cormstor 4
Weight Cormakr 0.1
Weight Armwin 1
Weight Armsolar 8
Weight Armuwmex 0
Weight Armmmkr 4
Weight Armuwfus 0.25
Weight Armfmkr 5
Weight Armuwes 3
Weight Armckfus 0
Weight Armuwms 3
Weight Coruwmex 0
Weight Cormmkr 4
Weight Corfmkr 5
Weight Corckfus 0
Weight Coruwfus 0.25
Weight Coruwes 3
Weight Coruwms 3
Weight Aaickfus 7
Weight Caickfus 7
Weight Cuwmmkr 0
Weight Auwmmkr 0
Weight Quark 0
Weight Fluxor 0
Weight Ackfus 0
Weight Armumme 0
Weight Corumme 0
Weight Aaisolrx 1
