//Drako's Normandy AI

//All of the stuff Arm will never use...

Limit ARMAH 0
Limit ARMAMD 0
Limit ARMANAC 0
Limit ARMARAD 0
Limit ARMASER 0
Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMBULL 0
Limit ARMCH 0
Limit ARMCKFUS 0
Limit ARMDECOM 0
Limit ARMDRAG 0
Limit ARMEMP 0
Limit ARMFAST 0
Limit ARMFAV 0
Limit ARMFDRAG 0
Limit ARMFIDO 0
Limit ARMFLASH 0
Limit ARMFORT 0
Limit ARMHAM 0
Limit ARMHP 0
Limit ARMJAM 0
Limit ARMJETH 0
Limit ARMLANCE 0
Limit ARMLATNK 0
Limit ARMLLT 0
Limit ARMMANNI 0
Limit ARMMARK 0
Limit ARMMART 0
Limit ARMMAV 0
Limit ARMMERL 0
Limit ARMMH 0
Limit ARMMLV 0
Limit ARMPEEP 0
Limit ARMPNIX 0
Limit ARMPW 0
Limit ARMRAD 0
Limit ARMROCK 0
Limit ARMSAM 0
Limit ARMSCRAM 0
Limit ARMSEAP 0
Limit ARMSEER 0
Limit ARMSEHAK 0
Limit ARMSH 0
Limit ARMSILO 0
Limit ARMSJAM 0
Limit ARMSNIPE 0
Limit ARMSONAR 0
Limit ARMSPID 0
Limit ARMSPY 0
Limit ARMSTUMP 0
Limit ARMTARG 0
Limit ARMTHOVR 0
Limit ARMTSHIP 0
Limit ARMVADER 0
Limit ARMWAR 0
Limit ARMYORK 0
Limit ARMZEUS 0
Limit ARMFLEA 0
Limit ARMSCAB 0

//Weights for the stuff Arm can use...

Weight ARMAAP 4.5
Weight ARMAAS 2
Weight ARMACA 4
Weight ARMACK 4
Weight ARMACSUB 2
Weight ARMACV 4
Weight ARMALAB 2
Weight ARMAMB 4
Weight ARMAMPH 3.6
Weight ARMANNI 2
Weight ARMAP 4
Weight ARMASP 1
Weight ARMASY 3.3
Weight ARMATL 2.2
Weight ARMAVP 3.1
Weight ARMBATS 1.9
Weight ARMBRAWL 3.4
Weight ARMBRTHA 2.3
Weight ARMCA 3
Weight ARMCARRY 1.3
Weight ARMCK 2.9
Weight ARMCROC 3.0
Weight ARMCRUS 4.1
Weight ARMCS 2.8
Weight ARMCSA 1.0
Weight ARMCV 3.5
Weight ARMESTOR 1.9
Weight ARMFHLT 2.1
Weight ARMFIG 3.7
Weight ARMFLAK 2.0
Weight ARMFMKR 0.9
Weight ARMFRT 4.1
Weight ARMFUS 3.5
Weight ARMGEO 3
Weight ARMGUARD 3.9
Weight ARMHAWK 4.4
Weight ARMHLT 3
Weight ARMLAB 2.8
Weight ARMMAKR .8
Weight ARMMEX 3.6
Weight ARMMMKR 0.1
Weight ARMMOHO 2.1
Weight ARMMSHIP 3.3
Weight ARMMSTOR 2.9
Weight ARMPLAT 2.9
Weight ARMPT 3.9
Weight ARMRL 7
Weight ARMROY 2.1
Weight ARMSFIG 3
Weight ARMSOLAR 4.2
Weight ARMSUB 3.5
Weight ARMSUBK 1.9
Weight ARMSY 4.9
Weight ARMTIDE 3.1
Weight ARMTHUND 2.1
Weight ARMTL 2.7
Weight ARMUWES 1.0
