// POWER HOVER PROFILE

//--------------------------- EASY

plan easy

Weight ARM 0.2
Weight CORE 0.2

Weight ARMRAD 0.25
Weight CORRAD 0.25

Weight PLANT 2
Weight CONSTR 3

// encourages advanced units

Weight ARMACK 2
Weight CORACK 2
Weight ARMACV 2
Weight CORACV 2
Weight ARMACA 2
Weight CORACA 2

Weight SPECIAL 2
Weight LEVEL3 2

// adjust unit build

Weight ARMAH 2
Weight ARMAMPH 2
Weight ARMANAC 2
Weight ARMAP 2
Weight ARMBRAWL 2
Weight ARMBRTHA 2
Weight ARMCH 2
Weight ARMCROC 2
Weight ARMDECOM 2
Weight ARMFIDO 2
Weight ARMFLAK 2
Weight ARMFUS 2
Weight ARMGEO 2
Weight ARMHP 2
Weight ARMMAV 2
Weight ARMMH 2
Weight ARMPLAT 2
Weight ARMRL 2
Weight ARMSH 2

Weight CORAH 2
Weight CORAP 2
Weight CORAPE 2
Weight CORCAN 2
Weight CORCH 2
Weight CORDECOM 2
Weight CORFLAK 2
Weight CORFUS 2
Weight CORGANT 2
Weight CORGEO 2
Weight CORHP 2
Weight CORINT 2
Weight CORKROG 2
Weight CORMH 2
Weight CORRL 2
Weight CORSEAL 2
Weight CORSH 2
Weight CORSNAP 2
Weight CORSUMO 2


Limit constr 2
Limit plant 3

//ARM

Limit ARMAAP 2
Limit ARMACA 2
Limit ARMACK 2
Limit ARMACV 2
Limit ARMALAB 2
Limit ARMAMD 0
Limit ARMANNI 1
Limit ARMAP 3
Limit ARMARAD 4
Limit ARMASER 1
Limit ARMASP 2
Limit ARMASY 1
Limit ARMATLAS 0
Limit ARMAVP 2
Limit ARMBATS 1
Limit ARMBRAWL 12
Limit ARMBRTHA 1
Limit ARMBULL 10
Limit ARMCA 2
Limit ARMCARRY 1
Limit ARMCK 2
Limit ARMCROC 12
Limit ARMCRUS 1
Limit ARMCS 1
Limit ARMCV 2
Limit ARMDRAG 0
Limit ARMESTOR 6
Limit ARMFAST 0
Limit ARMFAV 10
Limit ARMFIDO 10
Limit ARMFIG 12
Limit ARMFLASH 10
Limit ARMFUS 1
Limit ARMGEO 3
Limit ARMGUARD 4
Limit ARMHAM 10
Limit ARMHAWK 12
Limit ARMHLT 10
Limit ARMJAM 2
Limit ARMJETH 10
Limit ARMLAB 2
Limit ARMLANCE 0
Limit ARMLLT 12
Limit ARMMAKR 0
Limit ARMMART 6
Limit ARMMEX 8
Limit ARMMERL 8
Limit ARMMOHO 1
Limit ARMMSHIP 2
Limit ARMMSTOR 4
Limit ARMPEEP 10
Limit ARMPNIX 6
Limit ARMPT 2
Limit ARMPW 5
Limit ARMRAD 4
Limit ARMRL 8
Limit ARMROCK 5
Limit ARMROY 2
Limit ARMSAM 10
Limit ARMSEER 4
Limit ARMSILO 0
Limit ARMSOLAR 8
Limit ARMSONAR 2
Limit ARMSPID 4
Limit ARMSTUMP 5
Limit ARMSUB 2
Limit ARMSUBK 0
Limit ARMSY 1
Limit ARMTHUND 10
Limit ARMTIDE 2
Limit ARMTL 2
Limit ARMTSHIP 0
Limit ARMVADER 0
Limit ARMVP 2
Limit ARMWIN 6
Limit ARMZEUS 6

// CORE

Limit CORAAP 3
Limit CORACA 2
Limit CORACK 2
Limit CORACV 2
Limit CORAK 5
Limit CORALAB 2
Limit CORAP 3
Limit CORAPE 12
Limit CORARAD 3
Limit CORASP 1
Limit CORASY 1
Limit CORAVP 2
Limit CORBATS 1
Limit CORCA 3
Limit CORCAN 8
Limit CORCARRY 1
Limit CORCK 3
Limit CORCRASH 12
Limit CORCRUS 1
Limit CORCS 1
Limit CORCV 3
Limit CORDOOM 1
Limit CORDRAG 0
Limit CORESTOR 4
Limit CORETER 1
Limit CORFAV 5
Limit CORFING 0
Limit CORFINK 10
Limit CORFMD 0
Limit CORFUS 1
Limit CORGATOR 10
Limit CORGEO 3
Limit CORGOL 8
Limit CORHLT 8
Limit CORHURC 4
Limit CORINT 1
Limit CORLAB 2
Limit CORLLT 12
Limit CORMAKR 0
Limit CORMART 6
Limit CORMEX 8
Limit CORMIST 12
Limit CORMOHO 1
Limit CORMSHIP 2
Limit CORMSTOR 4
Limit CORPT 2
Limit CORPUN 4
Limit CORPYRO 6
Limit CORRAD 4
Limit CORRAID 5
Limit CORREAP 10
Limit CORRL 8
Limit CORROACH 0
Limit CORROY 2
Limit CORSEAL 12
Limit CORSHAD 12
Limit CORSHARK 0
Limit CORSILO 0
Limit CORSOLAR 8
Limit CORSONAR 2
Limit CORSTORM 5
Limit CORSUB 2
Limit CORSY 1
Limit CORTHUD 10
Limit CORTIDE 2
Limit CORTITAN 0
Limit CORTL 2
Limit CORTSHIP 0
Limit CORVALK 0
Limit CORVAMP 12
Limit CORVENG 10
Limit CORVP 2
Limit CORVRAD 2
Limit CORVROC 8
Limit CORWIN 6

// TACC
Limit ARMACSUB 2
Limit ARMAAS 2
Limit ARMAH 28
Limit ARMAMPH 28
Limit ARMANAC 28
Limit ARMASON 0
Limit ARMATL 1
Limit ARMBEAC 0
Limit ARMCH 4
Limit ARMCSA 4
Limit ARMDECOM 2
Limit ARMDEV1 0
Limit ARMFDRAG 1
Limit ARMHP 4
Limit ARMMAV 8
Limit ARMMH 28
Limit ARMMINE1 0
Limit ARMMINE2 0
Limit ARMMINE3 0
Limit ARMMINE4 0
Limit ARMMINE5 0
Limit ARMMINE6 0
Limit ARMMLV 0
Limit ARMPLAT 3
Limit ARMRECTR 3
Limit ARMSCORP 0
Limit ARMSCRAM 0
Limit ARMSEAP 12
Limit ARMSEHAK 3
Limit ARMSFIG 12
Limit ARMSH 14
Limit ARMSPY 5
Limit ARMSS 0
Limit ARMTARG 1
Limit ARMTHOVR 0
Limit ARMUWES 2
Limit ARMUWFUS 2
Limit ARMUWMEX 0
Limit ARMUWMS 2

Limit CORACSUB 2
Limit CORAH 28
Limit CORAMPH 28
Limit CORASON 0
Limit CORATL 1
Limit CORAWAC 1
Limit CORBEAC 0
Limit CORBUZZ 1
Limit CORCH 4
Limit CORCKFUS 2
Limit CORCSA 5
Limit CORDECOM 5
Limit CORDEV1 0
Limit CORFAST 4
Limit CORFDRAG 0
Limit CORGANT 2
Limit CORHP 5
Limit CORHUNT 1
Limit CORKROG 2
Limit CORMH 28
Limit CORMINE1 0
Limit CORMINE2 0
Limit CORMINE3 0
Limit CORMINE4 0
Limit CORMINE5 0
Limit CORMINE6 0
Limit CORMLV 0
Limit CORMMKR 2
Limit CORNECRO 3
Limit CORPLAT 3
Limit CORSCORP 0
Limit CORSEAP 16
Limit CORSFIG 16
Limit CORSH 12
Limit CORSNAP 15
Limit CORSNIPE 0
Limit CORSPY 5
Limit CORSS 0
Limit CORSY 2
Limit CORTARG 1 
Limit CORTHOVR 0
Limit CORUWES 2
Limit CORUWFUS 2
Limit CORUWMEX 0
Limit CORUWMS 2
Limit CORVIPE 6

//DOWNLOADABLE UNITS

Limit ARMAMB 12
Limit ARMAWAC 1
Limit ARMCKFUS 2
Limit ARMFHLT 6
Limit ARMFLAK 12
Limit ARMFMKR 4
Limit ARMFORT 0
Limit ARMFRT 6
Limit ARMLATNK 4
Limit ARMMANNI 8
Limit ARMMARK 2
Limit ARMMMKR 0
Limit ARMSJAM 1
Limit ARMVULC 1
Limit ARMWAR 5

Limit CORARCH 1
Limit CORBVALK 0
Limit CORFHLT 6
Limit CORFLAK 12
Limit CORFMKR 0
Limit CORFORT 1
Limit CORFRT 6
Limit CORHRK  6
Limit CORLEVLR 5
Limit CORMORT 10
Limit CORSJAM 1
Limit CORSUMO 10
Limit CORTOAST 15
Limit CORVOYR 2


//--------------------------- MEDIUM

plan medium

Weight ARM 0.2
Weight CORE 0.2

Weight ARMRAD 0.25
Weight CORRAD 0.25

Weight PLANT 4
Weight CONSTR 4

// encourages advanced units

Weight ARMACA 3
Weight ARMACK 2
Weight ARMACV 2

Weight CORACA 3
Weight CORACK 2
Weight CORACV 2

Weight SPECIAL 2
Weight LEVEL3 3

// adjust unit build

Weight ARMAH 4
Weight ARMAMPH 4
Weight ARMANAC 10
Weight ARMAP 2
Weight ARMBRAWL 2
Weight ARMBRTHA 2
Weight ARMCH 3
Weight ARMCROC 1
Weight ARMDECOM 2
Weight ARMFIDO 2
Weight ARMFLAK 4
Weight ARMFUS 7
Weight ARMGEO 5
Weight ARMHP 7
Weight ARMMAV 2
Weight ARMMH 3
Weight ARMPLAT 2
Weight ARMRL 3
Weight ARMSH 2

Weight CORAH 4
Weight CORAP 2
Weight CORAPE 3
Weight CORCAN 2
Weight CORCH 4
Weight CORDECOM 2
Weight CORFLAK 4
Weight CORFUS 7
Weight CORGANT 0
Weight CORGEO 5
Weight CORHP 7
Weight CORINT 3
Weight CORKROG 0
Weight CORMH 3
Weight CORRL 3
Weight CORSEAL 3
Weight CORSH 2
Weight CORSNAP 10
Weight CORSUMO 2

Limit constr 4
Limit plant 5

//ARM

Limit ARMAAP 5
Limit ARMACA 4
Limit ARMACK 3
Limit ARMACV 4
Limit ARMALAB 2
Limit ARMAMD 0
Limit ARMANNI 3
Limit ARMAP 5
Limit ARMARAD 2
Limit ARMASER 2
Limit ARMASP 4
Limit ARMASY 2
Limit ARMATL 2
Limit ARMATLAS 0
Limit ARMAVP 2
Limit ARMBATS 2
Limit ARMBRAWL 25
Limit ARMBRTHA 3
Limit ARMBULL 10
Limit ARMCA 3
Limit ARMCARRY 1
Limit ARMCK 3
Limit ARMCROC 20
Limit ARMCRUS 1
Limit ARMCS 1
Limit ARMCV 3
Limit ARMDRAG 0
Limit ARMESTOR 4
Limit ARMFAST 0
Limit ARMFAV 0
Limit ARMFIDO 15
Limit ARMFIG 10
Limit ARMFLASH 5
Limit ARMFUS 4
Limit ARMGEO 4
Limit ARMGUARD 8
Limit ARMHAM 5
Limit ARMHAWK 10
Limit ARMHLT 10
Limit ARMJAM 2
Limit ARMJETH 5
Limit ARMLAB 2
Limit ARMLANCE 8
Limit ARMLLT 8
Limit ARMMAKR 1
Limit ARMMART 10
Limit ARMMERL 12
Limit ARMMEX 12
Limit ARMMOHO 2
Limit ARMMSHIP 2
Limit ARMMSTOR 2
Limit ARMPEEP 4
Limit ARMPNIX 16
Limit ARMPT 2
Limit ARMPW 0
Limit ARMRAD 2
Limit ARMRL 12
Limit ARMROCK 5
Limit ARMROY 2
Limit ARMSAM 15
Limit ARMSEER 1
Limit ARMSILO 0
Limit ARMSOLAR 17
Limit ARMSONAR 2
Limit ARMSPID 6
Limit ARMSTUMP 5
Limit ARMSUB 2
Limit ARMSUBK 0
Limit ARMSY 2
Limit ARMTHUND 18
Limit ARMTIDE 4
Limit ARMTL 2
Limit ARMTSHIP 0
Limit ARMVADER 0
Limit ARMVP 2
Limit ARMWIN 8
Limit ARMZEUS 8

// CORE

Limit CORAAP 5
Limit CORACA 4
Limit CORACK 4
Limit CORACV 3
Limit CORAK 0
Limit CORALAB 2
Limit CORAP 5
Limit CORAPE 25
Limit CORARAD 2
Limit CORASP 4
Limit CORASY 1
Limit CORAVP 2
Limit CORBATS 1
Limit CORCA 4
Limit CORCAN 15
Limit CORCARRY 1
Limit CORCK 3
Limit CORCRASH 15
Limit CORCRUS 1
Limit CORCS 1
Limit CORCV 3
Limit CORDOOM 3
Limit CORDRAG 0
Limit CORESTOR 3
Limit CORETER 2
Limit CORFAV 0
Limit CORFING 0
Limit CORFINK 4
Limit CORFMD 0
Limit CORFUS 5
Limit CORGATOR 0
Limit CORGEO 4
Limit CORGOL 10
Limit CORHLT 12
Limit CORHURC 10
Limit CORINT 3
Limit CORLAB 2
Limit CORLLT 11
Limit CORMAKR 1
Limit CORMART 8
Limit CORMEX 12
Limit CORMIST 15
Limit CORMOHO 2
Limit CORMSHIP 2
Limit CORMSTOR 3
Limit CORPT 2
Limit CORPUN 8
Limit CORPYRO 0
Limit CORRAD 2
Limit CORRAID 5
Limit CORREAP 10
Limit CORRL 14
Limit CORROACH 0
Limit CORROY 2
Limit CORSEAL 18
Limit CORSHAD 17
Limit CORSHARK 0
Limit CORSILO 0
Limit CORSOLAR 17
Limit CORSONAR 2
Limit CORSTORM 5
Limit CORSUB 2
Limit CORSY 1
Limit CORTHUD 5
Limit CORTIDE 4
Limit CORTITAN 0
Limit CORTL 2
Limit CORTSHIP 0
Limit CORVALK 0
Limit CORVAMP 10
Limit CORVENG 10
Limit CORVP 2
Limit CORVRAD 2
Limit CORVROC 10
Limit CORWIN 8

// TACC
Limit ARMACSUB 2
Limit ARMAAS 2
Limit ARMAH 28
Limit ARMAMPH 28
Limit ARMANAC 28
Limit ARMASON 0
Limit ARMATL 1
Limit ARMBEAC 0
Limit ARMCH 4
Limit ARMCSA 4
Limit ARMDECOM 2
Limit ARMDEV1 0
Limit ARMFDRAG 1
Limit ARMHP 4
Limit ARMMAV 8
Limit ARMMH 28
Limit ARMMINE1 0
Limit ARMMINE2 0
Limit ARMMINE3 0
Limit ARMMINE4 0
Limit ARMMINE5 0
Limit ARMMINE6 0
Limit ARMMLV 0
Limit ARMPLAT 3
Limit ARMRECTR 3
Limit ARMSCORP 0
Limit ARMSCRAM 0
Limit ARMSEAP 12
Limit ARMSEHAK 3
Limit ARMSFIG 12
Limit ARMSH 14
Limit ARMSPY 5
Limit ARMSS 0
Limit ARMTARG 1
Limit ARMTHOVR 0
Limit ARMUWES 2
Limit ARMUWFUS 2
Limit ARMUWMEX 0
Limit ARMUWMS 2

Limit CORACSUB 2
Limit CORAH 28
Limit CORAMPH 28
Limit CORASON 0
Limit CORATL 1
Limit CORAWAC 1
Limit CORBEAC 0
Limit CORBUZZ 1
Limit CORCH 4
Limit CORCKFUS 2
Limit CORCSA 5
Limit CORDECOM 5
Limit CORDEV1 0
Limit CORFAST 4
Limit CORFDRAG 0
Limit CORGANT 0
Limit CORHP 5
